,ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067
ROI_001,1.0,0.8225211673424991,0.3727375565916312,0.755527886364819,0.5219398717173795,0.692679230594706,0.4957475904015768,-0.2167959186345351,0.29970304143444,0.4923675474962155,0.5897277316242671,0.6901626572010756,0.6673263711258052,0.43253154100238583,0.6134181673092064,0.6254194321846228,0.4530263321594287,0.6398187235186827,0.6397089139661072,0.7477106266439251,0.5294159409370538,0.3060482739241327,0.6367593758992466,0.36140692223404164,0.5277489714302327,0.5869328519879458,0.5593919853505671,0.6128524701347805,0.6086892943290693,0.6827697756150043,0.5598147858875581,0.32875754448529754,0.5864951824216877,0.47872551414484193,0.624092911231617,0.2962831802230165,0.44165193636294126,0.574920880560014,0.5886565252574651,0.6906812599087676,0.6504654884559842,0.49268215682809763,0.5277592861610191,0.431130417481015,0.5430155983597594,0.5197431557070367,0.5113159690149036,0.46225153233400845,0.4387554817659469,0.4702416660572883,0.41347243950715334,0.49342594898005027,0.23851439603080724,0.5456032231732333,0.498143859857552,0.32476606415057285,0.6926542899969871,0.5783734631148298,0.44791913101977693,0.4906281642796658,0.4351313377415505,0.1640348240400655,0.5113672609207178,0.3309908558519792,0.5631522563933229,0.34892489377176394,0.23643026126417732
ROI_002,0.8225211673424991,1.0,0.5427374241046948,0.8877797224494443,0.7953669866884,0.8506910543219469,0.7110875002377774,-0.4558709267945891,0.14623405663351557,0.4390442999757756,0.724207722578291,0.7974292278485481,0.8202831822965919,0.7204413434459601,0.7583835704939781,0.7932217158826445,0.6845952939553334,0.8156226585035159,0.5062637294276173,0.831506320274926,0.7505274282972281,0.6010460711964797,0.7763108975176238,0.6454268085176339,0.6051419658971188,0.5447508029759235,0.7000641103945275,0.7598248723565189,0.5914315903481885,0.7871620286038212,0.7757574844122197,0.5515156675754564,0.6781519028395419,0.7239446491628915,0.831426770633254,0.3585470624168418,0.3312822856445461,0.8035274690501012,0.8008670228297777,0.5902650483994009,0.7805116032331808,0.6443266064645395,0.6915976943499103,0.7266826457438336,0.7120990001096937,0.6678916296540501,0.7633311164628553,0.7559157016078426,0.5357349164752202,0.7391801569969685,0.732163849058079,0.7820420458033874,0.4236310601645381,0.8125361810019401,0.7407684697944213,0.6420316465297812,0.6543699550980506,0.7619940077887387,0.6921330179501152,0.7531430766685011,0.6816617029343058,-0.021361405644855575,0.7594779969717903,0.706744142735329,0.3397267441795977,0.29450481000730716,0.1065248370977296
ROI_003,0.3727375565916312,0.5427374241046949,1.0,0.47122956757993695,0.31356277227522794,0.783525872500673,0.913079286813115,-0.7109659965816478,-0.557942710385757,-0.19609418469774617,0.874558035194431,0.2334391419829846,0.454637507296749,0.34916548066917813,0.7348244257260259,0.5700401738466329,0.3105554493838226,0.436935172872693,0.344550618632657,0.5562163779165843,0.8564774602807979,0.7589301359606021,0.8128640001638815,0.8929100548667915,0.2687970414683684,-0.1596617457400756,0.2301893506010797,0.6794429821080001,-0.10439994157847125,0.3801112694767874,0.28345613200740377,0.7590631990331863,0.3852512095754323,0.3084688505902532,0.5031310865232004,0.23771987715558293,-0.19154702918753372,0.7959961742017218,0.8125496976287208,0.45441317304881584,0.8174599235054059,0.8674403625351311,0.26647203283514626,0.5666892575034028,0.9175917840393135,0.05309415161504972,0.4741382654288499,0.2880669297238847,0.6468723714318092,0.7417010053903776,0.6168388030378364,0.5548199958462776,0.5487458417796531,0.6757400256940096,0.8142511611389683,0.7455333080133765,0.4937712421118868,0.6879307307736584,0.6311422132091588,0.7293673335372965,0.7877940142375783,-0.3685473035775082,0.5607709757624096,0.5823233019581975,-0.08158602313497967,-0.48778618258615136,-0.4682798364884868
ROI_004,0.755527886364819,0.8877797224494443,0.47122956757993695,1.0,0.8964589017696418,0.7963595217758155,0.6762773451408943,-0.49079579376469407,0.26675485112394376,0.6007594229374673,0.678665950555848,0.8765851986144381,0.8451949547705336,0.8412088400199519,0.7469896179394627,0.8732818320679442,0.8244520502573309,0.923044812483031,0.5455289216047466,0.816254911680136,0.7053212234533479,0.5641737835048546,0.7202164872420859,0.5574603861249466,0.5509079753928797,0.6365594620039537,0.8348270930381609,0.7471813127745482,0.6893316634767348,0.8280990051011761,0.8937992528477102,0.505425312057798,0.6342349304475404,0.8069914527836736,0.9251595792281373,0.39898959658177374,0.3917610256776822,0.7598754116058182,0.6977995366207279,0.5202602095901054,0.6752757412845737,0.5464635382785148,0.8099227083814747,0.8035992108390774,0.628291254447528,0.7769282986494647,0.8056016298930087,0.848201351595425,0.49960841748827883,0.7557513188713992,0.8028383922131342,0.8652042424897867,0.3693205062338831,0.7764250323134221,0.718658854989274,0.6032043392434799,0.6453240387940494,0.7255460738720327,0.6652744762023276,0.7271758961122985,0.5666984936498488,0.025524559750207506,0.8063790205500733,0.7672785109317932,0.3558054138414613,0.3710721418840053,0.18611787509470964
ROI_005,0.5219398717173794,0.7953669866884001,0.3135627722752279,0.8964589017696419,1.0,0.6470523512001896,0.5570930719164919,-0.4726196527916796,0.2914481809941285,0.5803575189151687,0.535513383042831,0.8482008914232767,0.7948719160287614,0.9181331938513857,0.6101574552102265,0.8046723259143709,0.8753677015516834,0.8911395371548758,0.3201808599405796,0.7059535133402375,0.6224794166134441,0.5559313396599465,0.5705612031116062,0.508122103990581,0.4629216056937024,0.5960549283256414,0.8065659152587404,0.6685165796977461,0.6543586493432364,0.7205797422090479,0.9188148260404229,0.46284157729007647,0.5277485512916584,0.8343887046919103,0.8906067895932588,0.3539801013149205,0.299909307822625,0.6631822336439309,0.5981121692041586,0.2543205269213727,0.5068421366020692,0.38120389852995334,0.7982110629564113,0.7890391862567526,0.49330163371182706,0.7964212308638887,0.7931224618541609,0.9241106402896058,0.35571577866549625,0.670576259081847,0.8089175277699532,0.8817991512219773,0.2742401961868337,0.7299164714888379,0.6436182141830797,0.6157929310854805,0.4675182455243781,0.6687573071782681,0.6213510042529108,0.688094719200438,0.4649121205119477,-0.05234663837772354,0.7497749312352683,0.8599007077182698,0.19510943680129939,0.43140573517779124,0.2805040538406998
ROI_006,0.6926792305947062,0.8506910543219469,0.783525872500673,0.7963595217758155,0.6470523512001897,1.0,0.8584427092971694,-0.531931127634751,-0.1413311519476027,0.17369495914950012,0.8299943532100243,0.6181046764779314,0.6982816024169416,0.5820547941160652,0.855853250476961,0.7721436309430969,0.5557782030678181,0.7065884002016487,0.5608386238771671,0.8282863051516374,0.837729237559874,0.6509189601600075,0.9043046467317868,0.765252145457709,0.572419986740031,0.2852886525382237,0.5172330884524948,0.8154122291289246,0.3465277781165255,0.6185715941994474,0.6110397397039214,0.7096327494031357,0.6728860873434435,0.6256025652929347,0.7372624861618443,0.28860409890918326,0.21732135990652598,0.8539939762986858,0.8336944811819471,0.6500574489184973,0.8429095811219797,0.8026517447728351,0.5397929654598785,0.6682995400700988,0.8820170535527728,0.47620228162081896,0.6745160309215341,0.6021931941322538,0.71893060339444,0.819431726595566,0.7304293377585414,0.6992592626870007,0.5980627088403085,0.8502805449813897,0.7978106157360693,0.6611393475272899,0.6530903996614894,0.7116926408074971,0.7038014593395217,0.7698056493929525,0.7370229638913389,-0.1644186748970083,0.7019292843799299,0.6745136035450632,0.10872647283261105,-0.04000782031776975,-0.24270890163869838
ROI_007,0.4957475904015768,0.7110875002377774,0.913079286813115,0.6762773451408943,0.5570930719164918,0.8584427092971693,1.0,-0.8036158461757831,-0.44590513421879835,-0.019197643133084044,0.8883048547953685,0.4296203923737695,0.6743892778792111,0.5773848616824242,0.7490625314799396,0.7044747094833662,0.5569143544583723,0.6633613597911459,0.31389129915878905,0.6570329025699296,0.959118978974961,0.8963018103972483,0.8641118532860642,0.9402192386075281,0.39391935549300694,0.030529196923836585,0.44336617357399066,0.7224996634248321,0.08905196561051384,0.5659321329355604,0.5325576223323828,0.7237238364439957,0.4165980784542479,0.5100395158946827,0.7193151951211697,0.2867211080773055,-0.14105070658199173,0.9162763870725068,0.9111861833483037,0.4536068673560739,0.8846256544495732,0.8890045720208619,0.46892086257948407,0.752583790392195,0.9093261891498976,0.24384345159449952,0.6678353158698715,0.5181718599922858,0.5748246184712752,0.8418000255052362,0.799683005880611,0.7667226644418379,0.4733105766169444,0.7767336980493978,0.9294535286560198,0.8645088621474266,0.5316203767539318,0.7943540664954073,0.7490296627280606,0.8520766057092141,0.8635491700040978,-0.3104716151104605,0.7360225132780567,0.772618811081243,0.005602855236368656,-0.3048029444827691,-0.28311051118058295
ROI_008,-0.2167959186345351,-0.4558709267945892,-0.7109659965816478,-0.4907957937646941,-0.47261965279167967,-0.531931127634751,-0.8036158461757831,1.0,0.4909471914345735,0.08005138337047203,-0.704072442598199,-0.20353545133562256,-0.48997461996303204,-0.5416234257077482,-0.4484291117286545,-0.4754102273456933,-0.477351727041685,-0.51037932855326,-0.048730163032198535,-0.3378634429989247,-0.7823740375891923,-0.8532714023420677,-0.5765140593926883,-0.7983742903535982,-0.04226846263888388,0.11333192195915226,-0.3772890565300821,-0.4704636362289051,0.08967516114916566,-0.3907593760840077,-0.43514147077754106,-0.584599300546005,-0.024788544609438867,-0.32256172537928507,-0.5801920113773398,-0.2106310500451103,0.3321246818042362,-0.7158897709930048,-0.6833700467758941,-0.08218733506014697,-0.624108081311178,-0.6310452227102739,-0.378692921323496,-0.6999620143748868,-0.6472470520960398,-0.098033102156321,-0.5482367708454096,-0.43985459713831504,-0.24928815392936465,-0.6421011095079139,-0.7132017396789598,-0.6936626079527243,-0.16408447513203117,-0.5638551390847282,-0.8302091161975009,-0.8072811923623121,-0.34357442527548476,-0.7181904403372737,-0.6128242261048521,-0.7083822796420766,-0.6844053758999722,0.2912402728633959,-0.6340301583184278,-0.7570950110480673,0.00750892856236829,0.27787866811735307,0.10426003535619567
ROI_009,0.29970304143444,0.14623405663351555,-0.557942710385757,0.2667548511239437,0.2914481809941285,-0.1413311519476027,-0.44590513421879835,0.4909471914345735,0.9999999999999998,0.8589442683002618,-0.30062597678975966,0.5271363910052235,0.12307511925735905,0.25465695798323096,-0.0634640799198343,0.09867287782397897,0.21480239114872565,0.26475541442176054,0.24345544171428807,0.12862262523135642,-0.389456399108954,-0.47439063943724563,-0.2595570283102398,-0.5067327718188785,0.21719443634263963,0.8371267148471243,0.5065659136336806,0.02226232154550008,0.7863266310151648,0.2950273894695727,0.3843580159774551,-0.28827296350312154,0.2949657729222138,0.2847577573502804,0.19637419710707904,0.13053987743854678,0.6009259744064436,-0.2938603871835085,-0.2607145733180248,0.03665834662233674,-0.26756043653738604,-0.45959104230659464,0.45837756358963627,0.015080349569225444,-0.36551117966429747,0.672386603138425,0.09120358438651854,0.33397411471870597,-0.12781117169547815,-0.230603255480279,-0.10735575364383983,0.05392283722091324,-0.1785195101205744,-0.13494309725360637,-0.372221377959895,-0.3679947336803989,0.018260327727043765,-0.14467728337382157,-0.1810419901773656,-0.26810944723807484,-0.4596457736017134,0.30128650075937013,-0.09175450977151903,-0.1363893406522079,0.38417707831368525,0.7623861972967162,0.6077539260937078
ROI_010,0.4923675474962155,0.4390442999757756,-0.19609418469774614,0.6007594229374673,0.5803575189151688,0.17369495914950014,-0.019197643133084044,0.08005138337047202,0.8589442683002619,1.0,0.06293069105706268,0.7487613552709175,0.44014710539930624,0.5931408969085035,0.24223082298214765,0.43852427352122353,0.5371332266700282,0.6249389711305132,0.3666064634499974,0.3884893309525092,0.02072057112827031,-0.061899460363096494,0.08862848237544331,-0.1219946550246259,0.4057503033420038,0.911336052172951,0.8216836285263796,0.3101172151375832,0.8790837592729773,0.5862072496157138,0.6933939139053327,-0.022654644817405065,0.4375006617876826,0.5371865191732714,0.5821243875998503,0.3175328815194628,0.5652572985910137,0.10819933872635881,0.11806153507117699,0.21419142952916156,0.104189673914221,-0.08367158709703061,0.7362835314447825,0.4440488714729994,-0.021971137900524264,0.8248922098376267,0.40882689068170974,0.6137922516365848,0.07364400363876092,0.1564251081345467,0.2941114799805761,0.46594713549041544,-0.021103842106871773,0.196381084174392,0.04803917592698005,0.03428150068254809,0.25206882064488556,0.21799347812153025,0.15632621760531257,0.10090685867936736,-0.10651964987671542,0.24487037873435175,0.29511472447345183,0.24928299867205497,0.48522043382593055,0.7010061068870671,0.5851242860803026
