subject,session,task,run,window_id,start_index,end_index,window_size,step_size,fc_matrix_path,mean_fc_z,std_fc_z
sub-PC001,ses-01,task-rest,run-1,0,0,60,60,10,outputs/fc_dfc/sub-PC001_ses-01_task-rest_run-1_window-000_fc_fisher_z.csv,0.6221982001392917,0.39345262958657734
sub-PC001,ses-01,task-rest,run-1,1,10,70,60,10,outputs/fc_dfc/sub-PC001_ses-01_task-rest_run-1_window-001_fc_fisher_z.csv,0.4873467073918406,0.372471291557119
sub-PC001,ses-01,task-rest,run-1,2,20,80,60,10,outputs/fc_dfc/sub-PC001_ses-01_task-rest_run-1_window-002_fc_fisher_z.csv,0.5173608507025168,0.3945275995085021
sub-PC001,ses-01,task-rest,run-1,3,30,90,60,10,outputs/fc_dfc/sub-PC001_ses-01_task-rest_run-1_window-003_fc_fisher_z.csv,0.5016632860205374,0.40713402061488274
sub-PC001,ses-01,task-rest,run-1,4,40,100,60,10,outputs/fc_dfc/sub-PC001_ses-01_task-rest_run-1_window-004_fc_fisher_z.csv,0.4626749872398608,0.38364957357253865
sub-PC001,ses-01,task-rest,run-1,5,50,110,60,10,outputs/fc_dfc/sub-PC001_ses-01_task-rest_run-1_window-005_fc_fisher_z.csv,0.4709176451901447,0.3772420237762376
sub-PC001,ses-01,task-rest,run-1,6,60,120,60,10,outputs/fc_dfc/sub-PC001_ses-01_task-rest_run-1_window-006_fc_fisher_z.csv,0.5942760495584313,0.34765092877185527
sub-PC001,ses-01,task-rest,run-1,7,70,130,60,10,outputs/fc_dfc/sub-PC001_ses-01_task-rest_run-1_window-007_fc_fisher_z.csv,0.5324469249859801,0.3449112654782386
sub-PC001,ses-01,task-rest,run-1,8,80,140,60,10,outputs/fc_dfc/sub-PC001_ses-01_task-rest_run-1_window-008_fc_fisher_z.csv,0.44528537753904623,0.3098770235579331
sub-PC001,ses-01,task-rest,run-1,9,90,150,60,10,outputs/fc_dfc/sub-PC001_ses-01_task-rest_run-1_window-009_fc_fisher_z.csv,0.5172377248534594,0.32741612405119086
sub-PC001,ses-01,task-rest,run-1,10,100,160,60,10,outputs/fc_dfc/sub-PC001_ses-01_task-rest_run-1_window-010_fc_fisher_z.csv,0.6145220260864466,0.3889627078833713
