,ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067,ROI_068,ROI_069,ROI_070,ROI_071,ROI_072,ROI_073,ROI_074,ROI_075,ROI_076,ROI_077,ROI_078,ROI_079,ROI_080,ROI_081,ROI_082,ROI_083,ROI_084,ROI_085,ROI_086,ROI_087,ROI_088,ROI_089,ROI_090,ROI_091,ROI_092,ROI_093,ROI_094,ROI_095,ROI_096,ROI_097,ROI_098,ROI_099,ROI_100
ROI_001,1.0,0.47114597246407913,0.348238537450504,0.45149415746799343,0.4319218008188521,0.43412938280987057,0.514510130895937,0.2135589483099946,0.3180095728882019,0.38494644858020605,0.2798244768729318,0.24260529315947058,0.2889409209345259,0.24383460679067048,0.22394587019729723,0.5179753927091693,0.2776457876711179,0.20448341674289852,0.22861025136277824,0.38910380587827914,0.13462654485325581,0.30534101842617256,0.3769638293959705,0.14841246651541784,0.42695469905798855,-0.02010168379117521,0.10622701914872877,0.16412095067477778,0.3149892303855868,0.275870762985589,0.5472969774716577,0.4729274586806943,0.6724854473503812,0.3579999759788966,0.2614002821004916,0.30978279339871817,0.5328652261220597,0.20878375883850356,0.27066936635171,0.15070418464195862,0.3957094268175573,0.4627309499682981,0.21176475694755728,0.6722242359555042,0.621370909809544,0.26894816178763054,0.2235140810663526,0.4409655315956569,0.5564635669805361,0.40444626093410657,0.5207921373416127,0.39551232231810807,0.29381182259933003,0.4013609717755865,0.4360669180564644,0.31696620072722,0.14414679958871918,0.28864329547777046,0.06258941875588737,0.1252017673698259,0.09215681310233405,0.08945848481710669,0.09636379651113904,0.14016181318887774,0.31437298131392116,0.16049353837695723,0.16128192427116456,0.06826619517814127,0.19726123928136632,0.20824109576968122,0.17562204260019648,-0.041603853900266934,0.1231775298789418,0.040228510802407386,-0.07412847159432495,-0.014649538229301163,0.27616705497272126,0.10791757853236897,0.5072578986842369,0.2349865106824425,-0.013889610796716866,0.15162985659452108,0.2638068765555118,0.0794369315184563,0.017276549341889196,0.009714264707058693,0.42645352815017273,0.21305346404953387,0.239790973270662,0.06785142856372892,0.1320142738577234,0.18035994790167556,0.06207697451695011,0.2561119136965416,0.2741105522565507,0.35840641687324043,0.19574365707146607,0.1662173233463605,0.4712467313741999,0.34431166045058825
ROI_002,0.47114597246407913,1.0,0.8381996958417269,0.9358135455588755,0.8411321406799628,0.7803982659964114,0.531645323011706,0.7573763789317323,0.8388654384819524,0.8154434848680747,0.758170758148768,0.786040397184876,0.7792697805640059,0.6524725456655619,0.666745131234844,0.9085538288083762,0.724961051253585,0.7159890814120247,0.7012438229824257,0.7860983854446056,0.6049255323638072,0.660306978250281,0.6573000937243729,0.4915384385045054,0.6888975117554341,0.2847713470776922,0.28804867297297293,0.39127255058053706,0.7553505913029269,0.6582775216193224,0.46690199809951766,0.3337053340462248,0.46839841784064035,0.764487962482626,0.30782543800406187,0.23491323320424354,0.5176196225963627,0.1994580088492291,0.42145831010136103,0.19824040360629938,0.34303255424090817,0.5585412817847578,0.22842497933687614,0.48392991140636554,0.35885516433434467,0.1812044599334525,0.09407463408995488,0.228473516545624,0.3952816389238073,0.17436096640291618,0.3414185412015408,0.9109759004092742,0.8453175099403036,0.9200391948032463,0.8100876872808538,0.796536810758868,0.7789450621118202,0.8749909411527469,0.4604427895516258,0.6126507734381011,0.5311666519372679,0.6134814438823686,0.5298987338352186,0.6322366793702513,0.7844088215107479,0.6002985452787397,0.3584242500493194,0.5368780021852335,0.7574697930988279,0.8032748725306901,0.7159005887538988,0.41806827659744594,0.4635535362450367,0.35081256743285205,0.39453227005836955,0.3001171402348483,0.7252680478974468,0.5283869868889213,0.07989613348078729,0.048241207799772215,0.29789130436199956,0.32915493335987245,0.09084529532274804,0.2230569000204811,0.1745868709876924,0.1373306368637714,0.39190625860657213,0.4099059195211872,0.4245037209979978,0.03675923732179635,-0.022712851314862652,0.32096765721557396,0.33340210539342113,0.19006621608530042,0.48946246650676006,0.3384786858939828,0.12445342944281752,0.2489695068796513,0.45654526697304787,0.10439702422710186
ROI_003,0.34823853745050404,0.8381996958417269,1.0,0.7901659889796504,0.794120510144141,0.80311706890838,0.5556110907970986,0.8624999798606744,0.8633486734034406,0.8342709717414512,0.8558541631244743,0.8233572469367832,0.8464596642087687,0.8120747944720028,0.8066937386948101,0.8265455213701803,0.7432863713805838,0.8456272567146151,0.7937096025624409,0.8160522966185635,0.7871641301619499,0.6566697135771655,0.7542830310844617,0.5585023325665021,0.6938292101686004,0.44361749372521364,0.42033975701658627,0.503214702740335,0.7554948658852386,0.7058247700925443,0.19279531480780474,0.36883465758667144,0.2896363205076273,0.7411543937225947,0.3848619896274666,0.24580369487922,0.349964239646036,0.34342835798231336,0.4470805346239009,0.30800462310692844,0.3320737343079651,0.40388147770318433,0.2879498705749452,0.3396358122369381,0.2431598958471516,0.25982757063606793,0.1701147306838384,0.28264565912821965,0.41427919786946954,0.20012566049449998,0.24264754692903168,0.8091963506228573,0.8271758643499548,0.796498756349774,0.7232126663651336,0.8446291893843247,0.852229263694725,0.8671720112910642,0.6139122906937673,0.7492995089855832,0.6516573065175122,0.74749457311625,0.69215785648862,0.7797777811949163,0.8444145350890717,0.7551183150350211,0.5284861807374482,0.7108261488098164,0.7435350457284163,0.8038168771054638,0.8201575239080585,0.538687029295644,0.6106570125896483,0.49593152197040374,0.5463368202032672,0.4556153974992948,0.8029379989989581,0.6196255488436898,-0.08373230213368782,0.20498370973334282,0.3977990402841727,0.3265403013793517,0.1270592822401883,0.305793244455826,0.29964153643690333,0.2745608902340333,0.30195550237221536,0.42019596380478347,0.4740832650593175,0.07811095126204474,0.10612107190884333,0.4422898706091443,0.43016024443981493,0.21283326987036416,0.361754836417405,0.367641424900337,0.22291840685846007,0.4008197981338298,0.4930604627054743,0.13390624846504984
ROI_004,0.4514941574679934,0.9358135455588756,0.7901659889796504,1.0,0.8794550451501583,0.7917622011248321,0.46251931607718166,0.6951486319004001,0.8218005911591059,0.7103521238854731,0.6999228045277008,0.681952804444116,0.6802885801500808,0.5806930111695249,0.5792504437550393,0.8281505610914587,0.6883977398414027,0.6259624764935121,0.6900775504023685,0.7032548839721959,0.4929205253679548,0.6208591504476487,0.5419656807385602,0.36537816865505457,0.5727271710661456,0.13623046677061526,0.11453952330872468,0.22406422452828142,0.643505433962461,0.5190284128037067,0.528617059132211,0.21787488687525527,0.3894253475111289,0.704404572824,0.14502726373009484,0.16373410409361935,0.4929165702537724,0.06413867992727042,0.3432021271114366,0.07016578518687802,0.23735034233683108,0.47875942201550986,0.07818215881075213,0.468788579467025,0.24497198486143737,0.04981572457901639,-0.03048947704792578,0.11961240074324564,0.41001242166749,0.10827611322017475,0.36359689462394723,0.904948847903346,0.7736806203805938,0.971927710096312,0.8995631729240652,0.7834627711609151,0.7398994454994969,0.8861843611037138,0.3007220159200336,0.49692940724581086,0.3681829790663857,0.49005969661882187,0.38469709181556844,0.5530821972508845,0.7095312572404364,0.5095288037808826,0.2541840860205662,0.42697606548132067,0.681668778121659,0.7623523403661246,0.616189458921192,0.2614125097365162,0.31116520984074936,0.18863710818695706,0.22182773358497218,0.13480475324698313,0.6482086535606453,0.359948525564523,0.07893942811959666,-0.07425844343999428,0.15902314468407175,0.26906048281392736,-0.07970633603536392,0.028657905117727294,-0.011551521205960917,-0.011200925155547664,0.37415901261284945,0.24648414468358273,0.3044410762893376,-0.05375052362027423,-0.1428428654920756,0.19609422905963123,0.17007749536104425,0.0980576673498767,0.3673283864271109,0.20217936358131858,-0.016392070542283317,0.09582736412588498,0.4463656286115298,0.059089458140688673
ROI_005,0.4319218008188522,0.8411321406799629,0.794120510144141,0.8794550451501583,1.0,0.8977771229972905,0.7223433292669869,0.8183647631654647,0.8825096143822203,0.7459333473897529,0.7322656373513057,0.6801704028643378,0.7278444302141468,0.7595548470901987,0.7616890115629001,0.8344370907585449,0.6502070696871669,0.7280300378202378,0.7117383982375053,0.8341322641176845,0.6285965328283128,0.6473290131884999,0.6603237368490211,0.47567529493958033,0.540190358218875,0.2923950606915719,0.37394778912129745,0.4569422645846456,0.6661779805746573,0.6716267717775037,0.29145908723216135,0.4006555642881589,0.4462149388853831,0.6948321839995222,0.3855170718333259,0.3707008811023631,0.407870664342969,0.37471248770758053,0.6122278019516101,0.42815596957065954,0.5330135388721307,0.5216492648574033,0.35893492398619353,0.5098100753708937,0.39408287671082626,0.40014726908546366,0.3193356690018599,0.42464023000514506,0.5870549104364027,0.40241930787639074,0.22718308180427282,0.7573398213943103,0.7508473437252442,0.8939905747334567,0.8696327168009228,0.8402023622302188,0.7851967923706531,0.870450921593022,0.4987704101905296,0.6553415114598661,0.5175765319827434,0.623602716939562,0.5917242342094168,0.7529485817436282,0.7712162799682623,0.7281260507151647,0.5185229175021909,0.6217198833358965,0.6448948917819899,0.661171661990431,0.700307168903419,0.4401274627820531,0.5170434962093935,0.4344322131582661,0.3631444513752059,0.32750545159563144,0.7103171571162358,0.43965686263760334,0.004275007044178601,0.16359782086590616,0.31588831519967964,0.3781528632310042,0.19911066972663477,0.2779615778412797,0.25194565427170634,0.33155309447357045,0.2699460338970382,0.4109717276217424,0.4386044289631165,0.21182815443169267,0.1504082154433556,0.43001875764678094,0.4449159756247479,0.2323822238710189,0.444398938147431,0.4302719438165154,0.33951952404835917,0.4033795074895345,0.646820249605626,0.3087967344360713
ROI_006,0.4341293828098706,0.7803982659964113,0.8031170689083801,0.7917622011248321,0.8977771229972905,1.0,0.7546632575081693,0.8234600424792377,0.9304331660026772,0.7197631693009946,0.7522062502721747,0.6515695236407247,0.7388051786260622,0.7901231617184324,0.799616113300209,0.778542048499642,0.5814248023615803,0.7418191879162279,0.7014133577031986,0.8303960815644719,0.6468095339454594,0.5419018816673317,0.6534941866960471,0.3622053879068864,0.4947816270168387,0.25985541540479185,0.3512381655544958,0.43404926723477305,0.6363090405249998,0.6299322942661888,0.21731189827262343,0.3501041363748352,0.4270341910532895,0.6447666986501847,0.3492202364155692,0.39855786151340705,0.3266934518088873,0.3679968630529928,0.5764403855962491,0.4332097663869464,0.5107824804214205,0.46526020591231093,0.31980474876023457,0.4387423567203228,0.3546400577094535,0.3796364411180387,0.28550601632670886,0.4525061288670012,0.6730011882458223,0.42995010950266715,0.19690578595112376,0.7039631435720677,0.6573528453580736,0.8035081200955261,0.8299230759361861,0.9216446265482796,0.7674916374693646,0.8767424558055533,0.5159942704621335,0.6797901844284215,0.5130027754205171,0.6619147663374015,0.5989263810776345,0.7825092867243998,0.7394203399045243,0.7702496574405225,0.5397095650485849,0.6157285465634501,0.5706196165261148,0.6185603296009164,0.6827425394335066,0.4167481858176236,0.5155745812077622,0.4211571620228319,0.34197643459694227,0.2958672760829628,0.6795031322608746,0.4041638675630013,-0.07228881432554954,0.12991502151170878,0.21774264273117266,0.33512050684856415,0.19165353981540875,0.2985059288251216,0.24080556544753,0.31284560282755053,0.22241850931158874,0.377790456029831,0.4633694680435372,0.14343933795293473,0.1630683643221586,0.4412953959068781,0.40627625462586375,0.10946018960296548,0.34981487863566146,0.42044948713122077,0.3482198562794593,0.44742282957219737,0.7523388586177006,0.30158391115031935
ROI_007,0.5145101308959371,0.531645323011706,0.5556110907970986,0.46251931607718166,0.7223433292669869,0.7546632575081692,1.0,0.6612358386639832,0.6693704288141135,0.575784497221882,0.5744340509258233,0.48492515937193775,0.5861864557549451,0.7048623495853924,0.7117145392241054,0.6865857364901616,0.3834815617231865,0.6080674586007387,0.4558134224126643,0.7739058021579674,0.5626568037832618,0.504696000397368,0.6836105250562043,0.43047931124303135,0.44299428233434845,0.4026371808068942,0.6020613320012936,0.6103508716830263,0.5288461580862484,0.6787385668664913,0.039514251868091294,0.6094573217850173,0.6348923592102984,0.49257314675555597,0.6512871722431832,0.617430184100637,0.293904343801786,0.6878320002313021,0.7881401731594796,0.7708090898187094,0.8558388893609696,0.6067847196963161,0.6998300139186193,0.5585775103068297,0.647290228938283,0.7672928628676553,0.740177997263726,0.8281718033005381,0.7767027188051594,0.7846770488868032,0.08377105205922498,0.33611445621222574,0.47456430057060894,0.4733272934890202,0.4889946307430581,0.6209328199085766,0.4927635990827157,0.5248471522145125,0.5287560796865521,0.585811855498617,0.5121168713944672,0.5533181214293079,0.5999890721316183,0.6671126971594362,0.5565156157805159,0.700784862085106,0.6818195492799926,0.558639918819929,0.3293401010835576,0.2769743742714822,0.5501540020776872,0.4382245839068682,0.5795039395597441,0.5632621255572913,0.362394166034872,0.40045627105247544,0.5399400667194414,0.41571210813101445,-0.005356425070324178,0.39437695283271906,0.29963771261106664,0.40138165974338186,0.5507545592825467,0.5659476372049642,0.46663349035341084,0.6006890729006504,0.14910396134153142,0.5260517537007949,0.5396485381134071,0.46614121886462123,0.46362547282889016,0.5330424545601585,0.5997067544204034,0.29543247143772366,0.42852359820387703,0.65333245277012,0.7177738465532558,0.6556570325968887,0.7887448034307222,0.6297511686278792
ROI_008,0.2135589483099946,0.7573763789317323,0.8624999798606743,0.6951486319004,0.8183647631654647,0.8234600424792375,0.6612358386639832,1.0,0.8996308044067635,0.8670695685426688,0.8582796577459696,0.8387567972083657,0.8573552554641198,0.9187075293127763,0.9044661567400543,0.8090956582935337,0.7004070216874809,0.9310472621156209,0.7841636866483176,0.8466648259753319,0.874885845950379,0.6308598930134879,0.7722519580075851,0.65624170017237,0.6536628965277781,0.6242777826318492,0.6222069156494136,0.6877946289293093,0.778419251110331,0.8027232161239357,-0.026499670326878985,0.4493743245947602,0.2985246507079694,0.7053083579326241,0.5695033983979383,0.3226762566556937,0.14573817572622266,0.5282061326021501,0.6634541532940239,0.5457015063667678,0.4558003362468695,0.4435205470215927,0.49162966237302913,0.24330989740162295,0.299813025787054,0.464619723342884,0.3603600450631992,0.4132336448212827,0.3918904617478871,0.2563079137928423,0.017543947380920053,0.6669730118022258,0.8048810867987471,0.7120218036925577,0.6114433054228628,0.8589994843841766,0.9214429060436478,0.8533635275723915,0.7731088507389647,0.8528336166299028,0.7887696432392066,0.8317893228817212,0.8327045813485401,0.9109853113614014,0.8487663980966526,0.8983281842540611,0.6384116291645272,0.8407116287794187,0.7106879424285916,0.696472854578885,0.8640445538122241,0.6805764643308205,0.7476301773887335,0.660463423821644,0.6930502641135948,0.618308396293554,0.7686221542404594,0.685334789782954,-0.24133079097844845,0.29091020372922755,0.49516209113367204,0.3187978557063232,0.31799766208467967,0.5271421020200872,0.5293795117419899,0.5218928875771088,0.0792757370678372,0.5402820367404562,0.49511292880313124,0.15984798089333185,0.2828787913949413,0.578362467732623,0.6344812627060856,0.25254145244958703,0.38589486657541594,0.49793112741828655,0.44723785804788574,0.5925469961831563,0.505418269904726,0.16137471395685418
ROI_009,0.3180095728882019,0.8388654384819525,0.8633486734034406,0.8218005911591058,0.8825096143822202,0.9304331660026772,0.6693704288141136,0.8996308044067635,1.0,0.8023849646096891,0.8261391918838473,0.7641956421781618,0.8217036288361571,0.8420021842962165,0.8538145695506634,0.8289167373769443,0.6660271638013158,0.8349257633225868,0.7654879922718106,0.8657283447671597,0.7442335096077262,0.6000471542617128,0.6977664796127069,0.466759015121019,0.5601258662713534,0.3819018700104716,0.4259251186362318,0.5050885774072262,0.724217685218187,0.7006607537684658,0.16234099904005136,0.3192561578492808,0.3616577841017073,0.7345451266025153,0.3869902245909437,0.39296584223531683,0.30776773184821715,0.3562829745415271,0.5652521441750763,0.41092685100558546,0.45138604640608415,0.4580884419582309,0.3273607483091034,0.3554444205623439,0.295054678090374,0.3377835194680768,0.24414094658792593,0.3683730408608665,0.5342905976895759,0.30797539588936873,0.146772131492545,0.7713795325197577,0.7781043383260945,0.8404050248898517,0.797473100687549,0.9402588035967366,0.8734068500891573,0.9455898504765532,0.621706456217633,0.7622346545088318,0.6301982984013301,0.7631381704939505,0.6902132127258346,0.8419399931715335,0.8192240014702564,0.8229623290533761,0.5548389517673122,0.7061522813839711,0.7107452142017414,0.7333983470137762,0.7928501558870824,0.5298285039688291,0.6053337335021818,0.49772768322188193,0.48496327278697204,0.4108453354811846,0.7518227519622942,0.5367211302888049,-0.1731638020368595,0.11186259133418869,0.34453046254200204,0.3958196983141248,0.189597730167896,0.3576206134985386,0.32738405112437136,0.3573629989229029,0.20741731795130966,0.45153505469336824,0.5216548885374894,0.13780210379919344,0.15069325895606653,0.45478437015564016,0.47395306139705534,0.13729878837203466,0.400065092607452,0.42416737135723315,0.3206749936868165,0.4752576964195262,0.6390529177855558,0.20816690046133948
ROI_010,0.38494644858020605,0.8154434848680747,0.8342709717414512,0.710352123885473,0.7459333473897529,0.7197631693009946,0.575784497221882,0.8670695685426688,0.802384964609689,0.9999999999999998,0.8591513428379702,0.9226677747010376,0.8630702544607453,0.8202649580196875,0.8202498137125127,0.8808650824859535,0.7900916773968382,0.8646312535938143,0.7630222879531406,0.817044835436865,0.814094287909073,0.6957067977809588,0.7945822287395011,0.7460188760041276,0.8362067436387602,0.6086087009891483,0.5740388193262245,0.6867161356976111,0.8498163367402052,0.8169711525994235,0.20223792700282153,0.5063183535413238,0.4282758018594731,0.7826002895628706,0.5802957356628756,0.2846463768972745,0.3472158873935384,0.42202032311748067,0.5537857097764437,0.4214591045970126,0.41841151420224487,0.5165640582722049,0.43420733860751715,0.36511287288283795,0.4080458343670477,0.38482128502212337,0.2835716220352123,0.3649728124232992,0.31646081570796086,0.18674260340960194,0.19785343418030352,0.7321001488683758,0.8306559899422589,0.6973830208042509,0.5855169696160559,0.7641862150227895,0.8258725868358081,0.7832297631315549,0.7515177584033339,0.7974716807547868,0.7901318937287608,0.7500160720436341,0.7698239335040638,0.7798857514956454,0.8564599729941623,0.7862362204222857,0.547161793759708,0.7502507910779032,0.7858965623368083,0.7405266748177519,0.8268815358082322,0.6418631424680434,0.7123994981941398,0.5959426554801619,0.6809180630270898,0.6189480453331334,0.8102556554562178,0.7629989145615741,-0.019640357946718066,0.32093993207135796,0.5486510310111451,0.35504737442509,0.33965175439418566,0.49709580202478154,0.5023912466513568,0.4354107519664792,0.2741161389871859,0.6204008019403994,0.5213317935146035,0.1238879879432554,0.24938521697526264,0.562962778137731,0.5789425851536045,0.3364017166165009,0.5019624334161684,0.521798734595951,0.3750718617761064,0.5258669781727073,0.40506533016413737,0.11083652594158908
