,ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067,ROI_068,ROI_069,ROI_070,ROI_071,ROI_072,ROI_073,ROI_074,ROI_075,ROI_076,ROI_077,ROI_078,ROI_079,ROI_080,ROI_081,ROI_082,ROI_083,ROI_084,ROI_085,ROI_086,ROI_087,ROI_088,ROI_089,ROI_090,ROI_091,ROI_092,ROI_093,ROI_094,ROI_095,ROI_096,ROI_097,ROI_098,ROI_099,ROI_100
ROI_001,7.254328619247669,-0.05471255490873456,0.12416985409756798,0.1346157488714664,0.15587870506321216,0.3375218900537731,0.415984850702791,0.11142302066588713,0.2339375773383363,-0.10906128154968575,0.0310434596488365,-0.030194662751342645,0.24445650050158022,0.19223924271219406,0.18090665803282668,0.3644265156603778,0.21471237291617473,0.22910959628083777,-0.05416625053265555,0.22552821462974276,-0.018366780199663653,0.5167972388000067,0.08494481364849478,0.08294969997122761,-0.16223612859361028,-0.15620954616955413,-0.05638767892463379,-0.1699103406885445,-0.034218933367573236,0.041062869499679557,0.04181241287941184,0.05229521358973547,0.39227328907726045,0.42054680512454795,0.2626530929452117,0.27802920360491756,-0.03810055192349383,0.0858408574795699,0.12692214383156017,0.17460131353463834,0.22445365705921957,-0.030649548011013047,0.04810394179986033,-0.013422054082563546,0.18074935345113827,-0.07725583175668829,0.08416751364812342,0.3831109429946767,0.47640707426192336,0.1147700455919039,0.2529325212966363,-0.06815471526106069,0.01392409697712536,0.10998013062736037,0.2621308600776173,0.3137805024357767,0.012817743472972891,0.16594373971062862,-0.19461396943971326,-0.10292430060027505,-0.20061542564365087,0.05372897928019809,0.08773631324399649,0.1328114052457534,0.07714097789178456,0.10143525119552843,0.3249995776946755,0.056494670468065576,-0.06283196588096006,-0.004717399566692374,-0.10935296294138909,-0.18318010647399252,-0.1442667202934939,-0.09651666978576626,-0.2825914493759883,-0.3159244076241901,0.2266611590597539,-0.35134314164790975,0.22116881389004736,0.016624135455573022,-0.01846611586125289,0.25451148028021237,0.0654375905361595,0.001071862992654983,-0.18871189930811383,0.02784728750197485,0.09705683118416154,-0.25138652739084916,0.2936359918796054,-0.09675460524222228,0.007279865523627255,-0.23261262772823174,-0.3565547470326407,-0.04806644220026619,-0.16802243709067777,-0.08377741053270545,-0.102921684652708,0.11978457320098396,0.38042740178324763,-0.02321121858992005
ROI_002,-0.05471255490873456,7.254328619247669,0.8911893250609547,1.1582658174769904,0.8418621397006836,0.6627411288822456,0.3665428770549481,1.253810697648112,1.0179160304117352,0.5446417203959619,0.7126070792531998,0.6048412316559639,0.7548084869271006,0.6876758655320392,0.8137256135458196,0.5813293602080482,0.42852526853445067,0.7712984392133897,0.7220805381301418,0.6533985327431745,0.9572344261515648,-0.05188210887301552,0.28380760853556997,-0.29967944970750904,-0.06828335655087672,-0.2432104895875335,-0.07463887112580016,-0.21669726525944222,0.35738715466972426,-0.10339558888009838,-0.5264715142699418,-0.3731080764493159,-0.3503815864740697,0.34096746031066666,-0.3677555321026094,0.00929674225718131,0.13664422465857848,-0.37795359170929926,-0.43934317087421876,-0.3699662430741093,-0.17504079666069497,-0.5276933704482297,-0.7797628659867591,-0.32422663068311636,-0.4193836065102849,-0.3521407742502506,-0.34426440650586554,0.13190800974951097,0.081862370927206,0.05834418721192183,0.15298437995599048,1.3406010769807557,0.9320808797890918,1.158710673427468,0.8325211770285624,0.8302512213261594,1.3271954026610877,1.1340788068075922,0.5839772830600318,0.9720249680503636,0.7426546195056163,1.0430930012597217,0.7542313823180431,0.948439498205798,1.057321210918749,0.8654902787425761,0.3911121420671782,0.9336211938016136,0.6416163026998392,0.8888055105817215,1.065313225403011,0.12436162266386169,0.5021123121258044,0.03777234684444528,0.5519684301384385,0.07404681384188136,0.5412353696475924,-0.04096709392327685,-0.26975068589973783,-0.2611249937309857,-0.022941678708907915,0.2042362623586026,-0.30944633529319915,-0.24829095741649215,-0.07346393124491478,-0.22359618440271326,0.18675507217886322,-0.2893134295833943,0.13441731868221618,-0.03909728062084749,-0.08938174623925639,0.06964244356349018,-0.2885373042490178,-0.4552174933272297,-0.5040839747446435,-0.44505152812819343,-0.35919880381583447,0.3318567400646551,0.2195964419621852,0.12976284081676817
ROI_003,0.12416985409756798,0.8911893250609547,7.254328619247669,0.8254561966737022,0.6876495195049841,0.7532230573693743,0.4729929858312997,1.000794328840872,0.9577745471925028,0.6262676016190264,0.7996649203302424,0.7699408657594542,0.9518409016131999,0.8226500265508508,0.8848449249051494,0.9423435653825052,0.6326372151013416,0.963676763086449,0.83845575817767,0.7355596108699406,0.9682037530966429,0.16838387522585954,0.3944673470960006,-0.1430814303498366,0.004736788297569389,-0.21915339781569992,-0.34063352887024334,-0.46987779211239045,0.20889667325293926,-0.31617287456334714,-0.5453473625979776,-0.4184820227975082,-0.0806165328906898,0.5577154692087823,-0.17661770909474603,-0.03227460399538809,0.02044070533921644,-0.5145230123116304,-0.4597864373861262,-0.34440197677815987,-0.12114087077970302,-0.6080598368787915,-0.722130390499658,-0.5288288236873075,-0.4442400308132085,-0.6796326341671061,-0.3317615296797005,0.14746370299098407,0.1578730614958224,0.013586585925305606,0.1984018547078892,1.0000495640661071,0.7866790687860066,0.9827113585294812,0.8138381124484448,0.9598934258512501,1.0426972247193251,1.2193187642184808,0.5323656906823899,0.8790292798840152,0.6215848311224113,0.96994792614251,0.802540627527293,1.0974451827614888,1.0392677420414804,0.8884333705586686,0.5919576992840182,0.944607287691137,0.5956385255060515,0.8996285935158067,0.9090239531766584,0.07833776681587205,0.33603244742001365,0.004588296040119507,0.4304244357414195,-0.04204602884798079,0.8174364222090911,-0.13679901350854476,-0.2572589564945961,-0.20939163107680148,0.024161373258705512,0.407612780156633,-0.3138144154823443,-0.059783175398658954,-0.28797257401227666,-0.19652047819568152,0.28130393334082293,-0.6511160085898361,0.2112638649245019,-0.04383906114720137,-0.026132237258381603,-0.11761656142780598,-0.47284545575216824,-0.47255729772223043,-0.5838271052953465,-0.6495094833223919,-0.5460746637478077,0.2090107326558336,0.3664585115241068,-0.010920932559696457
ROI_004,0.1346157488714664,1.1582658174769902,0.8254561966737022,7.254328619247669,1.4226246888248546,1.0746606171639865,0.7128327890596399,1.3128636477823654,1.3386085814637487,0.2334230580079295,0.7136129900829832,0.33836722648794476,0.87620777219344,0.9354200263763179,0.9668735680111342,0.6252431856178194,0.43847505030547035,0.7965592667959804,0.7262725725895834,0.896979851194469,0.8121363195865814,0.09525513303616276,0.23229824365747145,-0.39145664182947737,-0.2571995046122345,-0.4124544921162929,-0.21925411198823758,-0.35590520092437533,0.254601704440521,-0.141886502533435,-0.6387767200244573,-0.47962637399054053,-0.2661755868090845,0.3613281033456799,-0.2858431318238923,0.18384158298506817,-0.012681127709961746,-0.2791495597426946,-0.2797453847057215,-0.18879729930611597,-0.029948104099286464,-0.5016612566316275,-0.6915081572812612,-0.33570683566290954,-0.4485141218373505,-0.3185361157756577,-0.2030726009687077,0.24874036506871777,0.3963778348767447,0.2652315200308002,0.21320076029957089,0.9182428873466447,0.7036489705648354,1.686363171899011,1.3093330896417152,0.9537263402328946,1.0281772263390234,1.319411611906698,0.22999456317387976,0.7244251222472314,0.37098993192127444,1.0688276885507957,0.7451757644646618,1.081546101474552,0.9367026536050408,0.9986353479467116,0.46241574961372056,0.724036309932643,0.3294514152121066,0.5929751381516121,1.0075933203090648,-0.045325225564583224,0.23464453541953448,-0.03766451010674235,0.18602343799917642,-0.18136876380259973,0.6331375967892444,-0.2883120343724159,-0.2861791722348297,-0.33414661613940483,-0.16103431720370784,0.27199212557322316,-0.39361160577043935,-0.3116581984875347,-0.28606431002257393,-0.21542447573117585,0.16848843275894776,-0.46358477685641614,0.21321735712345244,-0.044988069210665185,-0.05616969242119488,-0.060429475470094314,-0.45873014384534466,-0.5817815101886056,-0.5589842977459064,-0.5571848983805352,-0.29555804311959033,0.218156321116179,0.4710930890523347,0.26439115905982874
ROI_005,0.15587870506321216,0.8418621397006836,0.6876495195049841,1.4226246888248553,7.254328619247669,1.0251369936562607,0.8081073266096584,0.9462305641997634,1.005043254232173,0.017025293455504686,0.5327487302231786,0.12793601192783008,0.7700490961349754,0.9595741245187791,0.9810449273066979,0.38133312315449097,0.22364317403479214,0.6336870251540989,0.557106465036966,1.0686235300245348,0.6784252939899927,0.08761685918275842,0.2679004838216722,-0.31555596730266944,-0.4383216008401776,-0.49481647977861215,-0.11799856433498744,-0.2941487042246091,0.17572499519045,-0.05571938123312968,-0.5220039777594877,-0.3875785403385835,-0.1954318254161469,0.27345869841575593,-0.18974797701875076,0.3608767261185385,0.032048774158695316,-0.10600974819332439,-0.13042969044322847,0.04739635421443373,0.17481455998881842,-0.3782429445894857,-0.4560037142863724,-0.1066150899098862,-0.21946283009023634,-0.10398109919614075,0.024235141236571268,0.4421948894846061,0.5921651133337981,0.5264493518586348,0.2139432111106896,0.6098180344030535,0.39695961650314077,1.3184457224521808,1.4650130349870305,0.7555189631663786,0.6316002580860204,0.942116865012708,2.567343948413517e-05,0.5220725684894243,0.1798817515783636,0.8291363376457911,0.7224998129322046,0.8848401009228604,0.8235043977826693,0.9225541487697032,0.45851916595750153,0.5776016968266612,0.20327354672059003,0.38133027051626417,0.7790434611440921,-0.099583577016894,0.14302066111529335,0.07502429220640223,-0.03233053245855582,-0.2915477437525947,0.6269407556038539,-0.2868022324696131,-0.11550318598062492,-0.29155707188382,-0.12738285370308522,0.289296142569241,-0.2079034785926314,-0.28805171096269516,-0.24174216760524303,-0.07946135596596049,0.21115933434501477,-0.3690463302346452,0.3330051459167729,0.09807677810904658,0.04331281777405611,-0.09691796518166892,-0.41218904320948196,-0.4324450708321623,-0.4504235319763343,-0.36315831396369336,-0.08131699805943526,0.3136903581417148,0.5588748712205723,0.4805686016396777
ROI_006,0.3375218900537731,0.6627411288822456,0.7532230573693743,1.0746606171639865,1.0251369936562607,7.254328619247669,1.0790142891831525,0.9383719012286753,1.273011032088257,0.059440010742807144,0.6104604464991389,0.23359598152168481,0.8956990681169875,0.8403575758326113,0.8504478739424822,0.6791629376971551,0.39025429245692056,0.6646184566573913,0.453684648369471,1.09984120544325,0.6709027389127866,0.22998150569236123,0.18855917510830741,-0.3207683704564186,-0.36386573726332405,-0.4761256839330707,-0.22263547982639195,-0.3986495145462274,0.0997725125109517,-0.09680836144770615,-0.6391095538655882,-0.5460063475498806,-0.15440191299107076,0.37706661899701494,-0.1981773511879506,0.3389330107884619,-0.06476769134904674,-0.2513154488165589,-0.15838289596917035,-0.023380007115818405,0.10816539180526209,-0.4609171578704116,-0.6123248410332114,-0.2860068807293591,-0.3200393513977134,-0.38329925976595486,-0.16148983425832386,0.40407823499863876,0.707866306522743,0.3428189576262864,0.24889299439602153,0.6431969017381928,0.4368221829632344,1.092027429562053,1.2217602832408374,1.16977513908391,0.6762246699081846,1.1390301658793742,0.018188707294326284,0.5125000983044669,0.21349659660332218,0.9024839579509137,0.7432448716786163,0.9680885782296456,0.823624055481283,0.8574682234398401,0.6846071111111153,0.5924785734595401,0.17104614796622644,0.37361604230838724,0.7097729782673311,-0.15383340756253785,0.05084652228004947,-0.04397826717009673,-0.0645888609441348,-0.36437193078631885,0.7418319020814415,-0.3189066727153111,-0.2028308780963386,-0.28483791204925096,-0.1980413773138449,0.4573401862566171,-0.322881375687165,-0.29690241364710074,-0.3412295401430426,-0.19141445833364323,0.29536026630393875,-0.5579184662360795,0.5057118737109889,-0.0573470952422301,-0.057910049469767806,-0.13462244800674347,-0.5952432101380053,-0.652158986120547,-0.6164777148200353,-0.5787007881589137,-0.34191263005183464,0.35011743530176365,0.9440691248034351,0.20985031945802782
ROI_007,0.415984850702791,0.3665428770549481,0.4729929858312997,0.7128327890596399,0.8081073266096584,1.079014289183153,7.254328619247669,0.6806726606043454,0.9275917398912678,-0.07507261251536572,0.529419995726474,0.1353857537807222,0.8553545871194644,0.8800043678981401,0.722179799915653,0.500016609097853,0.30123837883310745,0.5870488486001465,0.5073139268826704,0.9394258023196818,0.42987673712028174,0.47297823014800355,0.44655212028563435,-0.19590235720344615,-0.5003124928408367,-0.3941592094873353,-0.23576568312955246,-0.5651608860335808,-0.22329271619885946,0.030557061606830613,-0.4149638493225922,-0.4107934863121994,-0.04661991924143465,0.402968379106997,-0.056283113375788674,0.4476557898137558,-0.13440995183421894,-0.08237961103944212,0.09215765100373836,0.32619339401587305,0.3592198520193897,-0.2750812228353687,-0.24258732207885103,-0.17586343470040608,-0.13019661931556253,-0.23430616861181078,0.12053151541542342,0.6728608767979506,0.9664657836350425,0.5684043140361601,0.029562991580090847,0.33227502608440296,0.09587801034853392,0.7227009113113667,0.880234655131427,0.7456679549254638,0.3628176445903341,0.7012979822822736,-0.3242827762970949,0.16658817306464868,-0.17270193902322553,0.4193400605795542,0.37708214000070445,0.5749444706246762,0.5393283471293454,0.7581497422267932,0.4445673781272577,0.3609781069083845,-0.09854794786954771,0.1642175253723805,0.36669300810192157,-0.481899878790767,-0.15890184763779738,-0.18519334850930416,-0.3706934643387947,-0.8437246182407382,0.5216681637430208,-0.5290518091620174,-0.14168943115109195,-0.46578060968728,-0.43013262579227673,0.24162090915654058,-0.3927259937014385,-0.45386759262754034,-0.6276444284735387,-0.32839021051284584,0.16400470183879204,-0.6222511698114926,0.4125882696528191,-0.1792328499549165,-0.24851914755469653,-0.35351570561797724,-0.7637199337489178,-0.577705678887541,-0.7004439792350136,-0.571524695196078,-0.2595441434637917,0.08361675594111943,0.8687838421862594,0.3698486871138018
ROI_008,0.11142302066588713,1.253810697648112,1.000794328840872,1.312863647782365,0.9462305641997634,0.9383719012286753,0.6806726606043454,7.254328619247669,1.2968121769546492,0.5647818682322809,0.9487145927605245,0.7128642800457412,1.1563214314908017,0.9994829919172503,1.077818649563206,0.8733917988536173,0.6844272455570614,1.1630717151217098,0.8483070089881655,0.7120893778298567,1.1246862952094092,0.20263340151098513,0.2479802203195314,-0.29596165972787214,-0.0767150023055898,-0.19003962920954212,-0.2723595441762397,-0.4483960308643586,0.24335359935969472,-0.18329414013291265,-0.5048941260244082,-0.5889653712302194,-0.17758731572156078,0.39778044812935653,-0.21064646781358912,-0.019198538492524148,-0.11063032185522426,-0.49519121775002406,-0.2940913254441779,-0.33692336080602237,-0.26025253472562476,-0.5906225488879168,-0.8026276362522401,-0.4743977564789135,-0.45925851654654565,-0.6050815474226554,-0.42964475091614934,0.1761335936640673,0.24368732914922842,-0.00928269527822843,0.03936111892515844,1.0259147114237064,0.7514395342700162,1.273031232313639,1.0021782803669905,1.0676229725812931,1.438482039060722,1.4584875803376132,0.32238492775322186,0.7258544451306354,0.5496647078294415,0.9752194019715694,0.7068621060755366,1.0536257990487539,1.1060406313022524,1.1704648920248306,0.37342826549504854,0.8155745768814536,0.32857881955418183,0.6899025923786724,1.0957939136320207,-0.06770090323179744,0.19329211509186345,-0.14534148820011253,0.339581257870842,-0.22607514820237137,0.5951712943392952,-0.30772228001103274,-0.3926484211471516,-0.5791706839900189,-0.23155246346990024,0.11120040317619034,-0.606840103620053,-0.2980689589171186,-0.4437683151597554,-0.49423087653916414,0.1069247824749971,-0.618177783186896,0.07365757334697001,-0.3604083065162023,-0.27771250966735617,-0.23451436219352984,-0.6030275553415207,-0.7732705557467676,-0.8256146779928574,-0.6886688339080077,-0.6519482207105761,0.08898352674077313,0.3547342770416826,0.006153037377714169
ROI_009,0.2339375773383363,1.0179160304117352,0.957774547192503,1.3386085814637487,1.0050432542321728,1.273011032088257,0.9275917398912678,1.2968121769546492,7.254328619247669,0.2931882734712706,0.8017812789709109,0.4650478501507833,1.0752856179050803,0.9023222801241145,0.9622796561179942,0.7698704988120276,0.44281152793163786,0.7904542525629552,0.6910233833134685,0.978428805918405,0.9152399940440054,0.17091156347160255,0.2624811710842605,-0.3670992311386148,-0.3446973580544144,-0.40617455326427665,-0.16431714515833867,-0.4132887229433268,0.1287122627918241,-0.08531639580244763,-0.6774755039041187,-0.5605392644721063,-0.14455641875601327,0.39546006456099514,-0.3320190333923692,0.2543001475738417,-0.07284624895516745,-0.33970424921006886,-0.2647988890583638,-0.1041265126698761,0.009636383178608746,-0.5419128778467489,-0.7828819281278495,-0.33119591942518917,-0.3659432810688438,-0.42345311468644736,-0.20810368480557492,0.36294951703384043,0.5082093506018067,0.2536380180482827,0.14824563880312858,0.9593282270068297,0.6876642527886017,1.3480234034480085,1.1620956480250366,1.3021536660151474,1.006141401331196,1.4869822369036443,0.22095640878853876,0.693684416538042,0.41209634963108255,1.0465741041556362,0.7836516454885128,1.0129743619423,1.0498607445008667,0.9222323109055158,0.5383103532136861,0.7248104673035728,0.3378175103038261,0.5567904356410818,1.0001382842031055,-0.17460986896542838,0.17591832124761408,-0.1402117980201175,0.1359853690186711,-0.2512725447976785,0.6883169124336697,-0.30683173898151944,-0.31811562371756585,-0.38379092744889876,-0.20673639050741416,0.358266629193856,-0.3569488367158542,-0.3859289586629853,-0.2793140464098954,-0.25149868733643627,0.2041763766673925,-0.5289670741627823,0.368437161573445,-0.10547003672464014,-0.12421313540179939,-0.18195993825561074,-0.5836963145168405,-0.6254287777571453,-0.7015602674558802,-0.5945791163481953,-0.4131746834025798,0.3292894776559254,0.6518092344295217,0.22776040778078405
ROI_010,-0.10906128154968575,0.5446417203959618,0.6262676016190264,0.23342305800792953,0.017025293455504686,0.059440010742807144,-0.07507261251536572,0.5647818682322809,0.2931882734712706,7.254328619247669,0.6725833065188351,1.3438608756160149,0.4480735316109812,0.32428628613845883,0.38920025483130266,0.7029994402201895,0.9024515428955905,0.6665159026984282,0.5568886809321969,0.05982562787500168,0.6568070734622535,0.17518726698742135,0.17047825386418253,0.2523219306582231,0.4674648148774433,0.318381549301449,-0.25001640981266493,-0.2397194613138544,0.36670812586861445,-0.24239071643590937,-0.16519591010600582,-0.3133392597913574,-0.06337412466857056,0.4025978128053763,0.0641252437217698,-0.546535725566146,-0.0868575294545871,-0.6944284672028538,-0.43455904467593937,-0.6182082891298752,-0.5275835484636164,-0.4142145081083676,-0.5044879148480722,-0.6784345461023904,-0.4145117449869256,-0.7369849903044371,-0.5598707823747193,-0.1663836805295984,-0.5575568047944638,-0.691356638665915,-0.1400360395060356,0.6251475714445043,0.6147201123180075,0.26453937073639605,0.12480841106191964,0.376495687692131,0.7474396466166459,0.500321300922571,0.8201011037199966,0.49916269151761566,0.7474522975599561,0.37593877055067293,0.35477089337533463,0.4214864637106947,0.5367321116157178,0.4193616741297274,0.09031970241019362,0.5114301812135209,0.5041028325893363,0.6573324002693137,0.5765350230059788,0.278536630655094,0.3328838141514082,-0.07317919242254428,1.0004381961365272,0.2165503591889615,0.3074663324952011,-0.007135495799422738,-0.39792847074616616,-0.3330595473819344,0.1686233307508192,0.01347812972047462,-0.3576802930906381,0.1914518488304891,-0.15707488388133026,-0.28121882075059057,0.027366422847178638,-0.30040260493957793,-0.16257546226094247,-0.2370906610956775,-0.26341014622943915,-0.19427956475912297,-0.1644564672694311,-0.4003685313328611,-0.32325108455995766,-0.45547085491659967,-0.6267986585723652,-0.0764043576329561,-0.3045421511965329,-0.46704672570781836
