subject,session,task,run,window_id,start_index,end_index,window_size,step_size,fc_matrix_path,mean_fc_z,std_fc_z
sub-PC001,ses-01,task-rest,run-1,0,0,60,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-000_fc_fisher_z.csv,0.5523686823904749,0.37463510255844795
sub-PC001,ses-01,task-rest,run-1,1,10,70,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-001_fc_fisher_z.csv,0.47638638043892184,0.4028628098661962
sub-PC001,ses-01,task-rest,run-1,2,20,80,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-002_fc_fisher_z.csv,0.49763342331864013,0.4181579376785342
sub-PC001,ses-01,task-rest,run-1,3,30,90,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-003_fc_fisher_z.csv,0.4807322030952669,0.42571337791304026
sub-PC001,ses-01,task-rest,run-1,4,40,100,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-004_fc_fisher_z.csv,0.44490904081302624,0.4009724993829472
sub-PC001,ses-01,task-rest,run-1,5,50,110,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-005_fc_fisher_z.csv,0.44902522274697687,0.3886550234442736
sub-PC001,ses-01,task-rest,run-1,6,60,120,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-006_fc_fisher_z.csv,0.4732187836903164,0.37350160837803686
sub-PC001,ses-01,task-rest,run-1,7,70,130,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-007_fc_fisher_z.csv,0.40681218596651647,0.35838491182929516
sub-PC001,ses-01,task-rest,run-1,8,80,140,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-008_fc_fisher_z.csv,0.3350806326875947,0.35197607777908824
sub-PC001,ses-01,task-rest,run-1,9,90,150,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-009_fc_fisher_z.csv,0.418398502260783,0.3505285075037843
sub-PC001,ses-01,task-rest,run-1,10,100,160,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-010_fc_fisher_z.csv,0.496493658088747,0.3532537234220737
sub-PC001,ses-01,task-rest,run-1,11,110,170,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-011_fc_fisher_z.csv,0.5156446313792254,0.34717355716732806
sub-PC001,ses-01,task-rest,run-1,12,120,180,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-012_fc_fisher_z.csv,0.3761886954506501,0.389618924497935
sub-PC001,ses-01,task-rest,run-1,13,130,190,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-013_fc_fisher_z.csv,0.2711101080567153,0.424429593072525
sub-PC001,ses-01,task-rest,run-1,14,140,200,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-014_fc_fisher_z.csv,0.25973645080515084,0.39656754893814916
sub-PC001,ses-01,task-rest,run-1,15,150,210,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-015_fc_fisher_z.csv,0.21008892854974806,0.38825227113249006
sub-PC001,ses-01,task-rest,run-1,16,160,220,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-016_fc_fisher_z.csv,0.13509275177234165,0.3871870592738207
sub-PC001,ses-01,task-rest,run-1,17,170,230,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-017_fc_fisher_z.csv,0.21212655067782482,0.40307144594400407
sub-PC001,ses-01,task-rest,run-1,18,180,240,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-018_fc_fisher_z.csv,0.5450982258587109,0.4311266170879491
sub-PC001,ses-01,task-rest,run-1,19,190,250,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-019_fc_fisher_z.csv,0.5852537119348431,0.41169657135873167
sub-PC001,ses-01,task-rest,run-1,20,200,260,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-020_fc_fisher_z.csv,0.7090773599669957,0.4537314088685457
sub-PC001,ses-01,task-rest,run-1,21,210,270,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-021_fc_fisher_z.csv,0.870912000098409,0.4669679996876735
sub-PC001,ses-01,task-rest,run-1,22,220,280,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-022_fc_fisher_z.csv,0.888035183560994,0.47850997104840526
sub-PC001,ses-01,task-rest,run-1,23,230,290,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-023_fc_fisher_z.csv,0.8601282525100451,0.4539195768976069
sub-PC001,ses-01,task-rest,run-1,24,240,300,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-024_fc_fisher_z.csv,0.4923376843459746,0.3967108716849011
sub-PC001,ses-01,task-rest,run-1,25,250,310,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-025_fc_fisher_z.csv,0.30189349930315756,0.47375805494516887
sub-PC001,ses-01,task-rest,run-1,26,260,320,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-026_fc_fisher_z.csv,0.48622553331522544,0.4600250944269829
sub-PC001,ses-01,task-rest,run-1,27,270,330,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-027_fc_fisher_z.csv,0.45429909531573476,0.49392901696461256
sub-PC001,ses-01,task-rest,run-1,28,280,340,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-028_fc_fisher_z.csv,0.5637722640794053,0.43353265494054993
sub-PC001,ses-01,task-rest,run-1,29,290,350,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-029_fc_fisher_z.csv,0.7180102029548463,0.44375872735543526
sub-PC001,ses-01,task-rest,run-1,30,300,360,60,10,outputs/fc_dfc_schaefer100/sub-PC001_ses-01_task-rest_run-1_window-030_fc_fisher_z.csv,0.777209710563177,0.43155054369391543
