ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067
3285.874,3400.6868,1234.0502,3321.1787,3931.659,2794.8923,3370.3723,2014.4572,3027.9426,3672.3315,3590.7769,3663.0017,3582.3838,3309.361,2935.7578,3888.5222,3659.2903,3622.9932,2767.2588,3524.5913,3610.3123,3007.413,3437.983,3583.5227,3254.9495,3041.1487,3113.4524,4178.2563,4115.9746,3697.1738,3499.4568,3693.2568,4168.094,3788.705,3690.6074,1845.2881,3650.0942,3660.0857,3457.001,3445.5928,3866.5405,2062.8325,2944.933,2939.2034,3217.2903,3483.2642,3536.7244,3922.4014,2569.4197,3780.1091,3448.0645,3484.4033,2544.125,3184.4116,3355.9563,3198.3152,3150.9287,3472.8806,1209.8345,2866.971,2899.7803,2010.2017,2992.8943,3186.0015,2126.3096,2321.3691,2674.7097
3271.6958,3378.2122,1226.0732,3299.147,3909.3342,2773.255,3343.9722,2010.349,3011.413,3636.41,3576.251,3650.525,3568.22,3284.7583,2931.0715,3877.9714,3652.0454,3598.2903,2771.1763,3507.9219,3598.7605,3004.6277,3414.4407,3545.9946,3182.014,3024.4233,3098.1946,4155.8867,4090.6382,3682.1472,3478.6165,3664.7996,4147.4775,3773.3474,3663.0974,1822.9805,3627.2605,3647.5088,3443.5679,3417.8557,3838.0586,2049.477,2936.4023,2929.2554,3210.9734,3471.702,3525.0483,3889.4133,2564.795,3769.0537,3437.7444,3460.3357,2530.3167,3169.6406,3346.1584,3176.8628,3130.4458,3442.67,1213.5541,2851.6055,2886.0637,1994.1228,2973.0042,3162.708,2141.3594,2297.4429,2656.8352
3273.1516,3374.9006,1197.6483,3298.1946,3901.7334,2751.1257,3338.9448,1987.5793,3010.849,3618.6294,3565.7942,3647.679,3567.4353,3265.605,2924.4617,3877.7317,3648.7478,3587.638,2771.7217,3510.931,3598.3313,2996.3086,3411.3425,3540.8088,3156.8281,3017.1091,3091.9414,4141.2803,4082.4968,3671.9854,3464.6545,3648.9368,4128.6797,3763.579,3654.5383,1810.5428,3621.8306,3644.1858,3431.3728,3417.7532,3833.1204,2040.7657,2932.1094,2926.01,3202.6758,3465.7634,3513.7983,3868.6182,2557.8267,3758.2012,3430.927,3446.058,2529.0625,3166.281,3342.2607,3168.7227,3120.3384,3436.2212,1212.4935,2844.5225,2877.6968,1994.1013,2967.305,3154.5784,2115.2937,2293.621,2650.0007
3267.0557,3372.6309,1193.6692,3299.4136,3891.622,2764.7258,3329.2227,1992.5673,3006.4485,3616.0984,3564.8635,3644.0461,3561.234,3250.1865,2915.3103,3869.652,3643.4673,3580.1167,2752.9812,3509.3503,3593.7249,2975.664,3402.7795,3537.6165,3134.879,3011.3616,3084.5886,4136.0464,4080.8135,3669.8506,3453.1638,3676.157,4127.178,3759.883,3648.6958,1778.7972,3620.9668,3642.2842,3430.0356,3413.6877,3832.7637,2031.1696,2933.201,2908.9836,3206.4946,3465.696,3509.6064,3848.3372,2554.0688,3754.3264,3427.8281,3435.475,2512.9485,3163.4607,3338.4917,3152.6436,3116.8477,3437.874,1210.6615,2841.61,2883.378,1986.1885,2969.545,3149.5278,2136.6987,2290.0063,2645.0354
3275.5706,3385.3674,1236.2405,3299.205,3882.0713,2766.5544,3327.5059,1990.7898,3012.8826,3609.729,3567.6404,3640.4011,3559.396,3248.6003,2916.1257,3866.2698,3641.1792,3578.9224,2740.7788,3502.4126,3590.5667,2979.7583,3408.2095,3538.9614,3125.8108,3011.657,3089.5027,4133.202,4076.2297,3665.566,3444.8696,3674.615,4121.352,3756.1533,3651.0098,1805.1552,3616.008,3639.1863,3443.8196,3413.1956,3831.1267,2034.737,2930.3237,2912.5793,3208.4573,3464.999,3509.108,3843.5889,2547.4753,3758.6223,3429.5396,3430.1313,2521.0503,3163.524,3334.2341,3149.4216,3113.5337,3430.1821,1215.3884,2843.7583,2876.046,1990.7454,2970.8503,3139.6072,2111.4163,2281.5254,2636.6104
3268.3218,3367.7341,1231.1885,3294.0452,3872.2507,2763.369,3319.1653,1974.0446,3007.5347,3610.4614,3568.8206,3638.9678,3552.0437,3238.3276,2916.576,3863.312,3634.4482,3564.3425,2767.9917,3496.4172,3587.0198,2957.3892,3402.343,3519.048,3125.1243,3006.8713,3088.898,4131.506,4069.3794,3665.3403,3442.395,3661.8652,4115.4595,3755.2998,3639.6973,1718.0558,3614.521,3633.969,3418.3074,3417.6426,3820.885,2028.07,2931.2947,2904.1921,3208.443,3467.227,3509.9993,3836.5,2562.8682,3764.5232,3430.7844,3420.8357,2521.273,3163.7542,3336.6694,3132.7078,3118.4768,3415.7043,1200.9368,2837.3384,2867.353,2006.8734,2968.9668,3138.875,2128.6953,2277.1067,2623.0178
3262.497,3359.7512,1202.9825,3287.6218,3869.4626,2747.2258,3311.2893,1976.9076,3008.4473,3608.0715,3572.5886,3637.291,3554.2107,3229.8118,2924.2324,3862.2168,3634.6958,3558.8772,2744.9573,3493.4548,3582.2136,2950.0132,3396.1943,3510.017,3116.6912,3009.0852,3085.425,4131.9233,4069.6106,3665.7231,3431.7488,3640.5813,4119.0913,3754.9492,3634.3303,1859.8239,3606.231,3626.1038,3407.4731,3409.4746,3805.89,2025.1641,2930.0361,2913.852,3204.372,3466.7976,3507.8665,3833.3147,2560.3662,3762.1287,3428.7722,3415.08,2536.4795,3162.0337,3331.2446,3126.9724,3110.2668,3409.1995,1213.4944,2833.1008,2866.7954,2001.1996,2965.9407,3135.5195,2118.8906,2265.717,2625.6257
3255.1077,3355.8228,1192.8295,3283.0176,3865.4705,2722.1555,3304.5986,1990.5604,2995.467,3597.3271,3558.4233,3634.2468,3551.514,3224.8643,2917.8376,3863.5972,3634.4119,3554.0627,2745.6296,3492.1875,3579.0374,2946.744,3388.3818,3507.3005,3102.2324,2998.6382,3084.7065,4117.4653,4058.8206,3663.952,3425.2227,3627.5105,4111.7583,3745.3167,3629.5103,1808.8802,3604.1926,3622.7983,3393.4958,3398.2405,3799.803,2026.1488,2924.6858,2910.0784,3196.618,3458.5327,3498.723,3817.6511,2547.2083,3750.0896,3415.9963,3406.1467,2521.0493,3151.4377,3321.8853,3121.3237,3102.3357,3406.9993,1208.8645,2830.3755,2867.1387,1995.5009,2956.1792,3129.5928,2132.0496,2255.6624,2626.4326
3263.7764,3343.7842,1165.2329,3286.6104,3858.4656,2725.104,3298.988,1995.041,2995.3489,3583.8948,3553.63,3630.5647,3550.2156,3221.0112,2911.98,3862.0608,3629.6633,3548.4502,2753.8354,3488.2532,3576.1194,2945.5454,3384.5195,3490.0325,3083.6038,2993.4602,3074.461,4123.729,4055.8174,3661.0015,3418.4197,3666.7136,4103.733,3739.7532,3624.3062,1749.0365,3603.2583,3616.1953,3380.9504,3399.0503,3794.1729,2013.7017,2922.9148,2889.9775,3197.6873,3453.922,3491.5818,3811.091,2554.8533,3747.897,3413.4294,3401.5425,2513.9817,3144.7278,3316.5564,3109.856,3098.4272,3396.0735,1220.4419,2824.848,2864.3098,1995.6704,2954.8184,3122.5742,2133.0632,2249.978,2616.9775
3269.8083,3347.4038,1209.8134,3284.8267,3854.8025,2721.4763,3294.3274,1972.1232,2994.7288,3584.6917,3551.2441,3627.1294,3547.833,3218.2285,2900.8997,3860.651,3626.2163,3540.8396,2751.7432,3483.2244,3573.3464,2940.7046,3380.1562,3495.9783,3087.053,2986.1465,3070.9883,4118.091,4052.1228,3660.2336,3415.578,3661.6008,4097.3774,3741.4634,3616.195,1806.9066,3607.7144,3615.1304,3375.6135,3392.4885,3790.5068,2020.0479,2920.917,2883.91,3200.2405,3450.5176,3490.6328,3801.3848,2547.0066,3745.817,3414.0876,3391.7014,2507.237,3143.822,3315.028,3107.3696,3093.2283,3389.6028,1213.3118,2820.7515,2855.9539,2005.648,2956.3994,3124.2842,2125.3872,2249.9133,2618.3674
