ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067
0.87189627,1.8479464,1.2111633,1.8194401,2.6520658,2.1982467,2.7484627,-0.44398817,-0.5794926,1.522887,1.7389195,2.5925963,3.244102,3.2969956,1.3790431,2.834409,3.1026428,3.2661958,0.10875326,2.9335346,2.7434113,2.8507833,2.77337,2.6394703,7.8888946,0.8765313,1.2571262,2.8387773,2.4080937,2.4004412,2.7101762,1.7502099,4.0952854,4.2086396,2.8503983,0.79002637,2.5264947,3.5099807,2.5518706,2.8650646,3.2974546,2.0243769,1.2606256,1.6668924,1.4571531,1.32724,3.3387735,3.1205451,1.3918836,3.0994384,3.217902,3.1706417,1.5903467,3.2238543,2.9752522,3.180891,3.0730577,3.213022,0.8607384,2.889266,2.5816748,0.87712705,3.2453835,3.3463519,-0.0003587527,1.5392766,1.7018737
0.12201099,1.2199509,1.1393127,0.8693385,1.941109,1.6488587,2.1821628,-0.5627374,-1.1317186,0.32281,1.2257115,1.6412592,2.1717365,2.5329626,1.130251,1.9169567,2.530009,2.3892257,0.3213574,1.7019677,2.2691863,2.7945366,1.8455265,2.0432298,4.333759,0.242017,0.72743523,1.7170708,1.0332098,1.5333945,2.12882,1.0545745,2.6556928,2.9210784,1.9970548,0.05634012,0.7938438,2.8245187,2.2826521,1.3288985,2.4236808,1.7346866,0.77983296,1.4657586,1.1853262,0.62279683,2.5443218,2.3393958,1.1041973,2.3457985,2.5607276,2.5060537,0.9659867,2.1421382,2.5135136,2.6931684,1.9346741,2.2440774,1.100323,2.2292137,2.156177,0.15171534,2.0459416,2.4490948,0.631497,0.59943444,0.8035637
0.19900872,1.1274189,0.88328105,0.82826734,1.6990515,1.086986,2.074323,-1.220911,-1.1505598,-0.2712051,0.85626686,1.4242601,2.112328,1.9381614,0.77933687,1.8961093,2.2693665,2.01106,0.35095716,1.9242804,2.2515666,2.626546,1.7234228,1.9608387,3.1061146,-0.035464335,0.5103497,0.9846426,0.59141815,0.9470473,1.7393422,0.66681004,1.3431039,2.1021194,1.7315573,-0.35272697,0.3818142,2.64341,2.0382457,1.3232195,2.2721848,1.5457318,0.5378818,1.4001422,0.82826596,0.26098862,1.7788575,1.8469708,0.6707315,1.6059889,2.1266017,2.1118016,0.9092789,1.8961052,2.3298285,2.5081012,1.3729315,2.037248,1.0320117,1.9249502,1.8966281,0.15074606,1.7022595,2.1359437,-0.46285248,0.44931212,0.4600872
-0.123405546,1.0639958,0.84743994,0.8808355,1.3770442,1.4323008,1.8657762,-1.0767317,-1.2975781,-0.35576144,0.82338595,1.1472638,1.6428089,1.4593452,0.2934956,1.1935415,1.8519952,1.7440506,-0.66610044,1.8075054,2.062462,2.209663,1.3859394,1.9101186,2.0362322,-0.2535112,0.2550901,0.72219366,0.500071,0.8238697,1.4188002,1.3322057,1.2382618,1.7922492,1.5503256,-1.3968239,0.31627035,2.539769,2.0114472,1.0980632,2.2612422,1.3375831,0.59940153,1.0558944,0.9925975,0.25688326,1.4936355,1.366721,0.436974,1.3418496,1.9292674,1.8195691,0.18066578,1.6895669,2.1522067,2.142541,1.1789267,2.090259,0.9140082,1.7998447,2.072862,-0.20624872,1.8373384,1.9413985,0.43582302,0.3073221,0.21054715
0.3269466,1.4198867,1.2308921,0.87184423,1.0728883,1.4787304,1.8289498,-1.1281106,-1.0826255,-0.5685511,0.9214939,0.86933666,1.5036592,1.4100868,0.33678633,0.8994286,1.6711452,1.7016509,-1.328332,1.2949327,1.9328108,2.2923393,1.5999432,1.9314873,1.5942203,-0.24230412,0.42568696,0.57957166,0.25133383,0.5766412,1.1874278,1.2945118,0.8314404,1.4795543,1.6221035,-0.5299255,-0.06000467,2.3709283,2.2876968,1.0708042,2.211023,1.4149649,0.43724307,1.1285942,1.0770535,0.21441644,1.4597147,1.2542826,0.026820147,1.6346978,2.0382497,1.6720103,0.546998,1.6941975,1.9515622,2.0692902,0.99474573,1.8435576,1.2184758,1.8921244,1.8454167,-0.00066087703,1.9160596,1.5592579,-0.6256442,-0.025816362,-0.21286611
-0.056440897,0.92716926,1.1853871,0.64932704,0.7601411,1.3978474,1.6500392,-1.6121441,-1.2612904,-0.5440822,0.96319026,0.76004595,0.94700515,1.0910705,0.36068696,0.64223367,1.1391312,1.1840563,0.14852875,0.851985,1.7872038,1.8406305,1.3687351,1.6151072,1.5607568,-0.42385855,0.4046929,0.49451265,-0.12040071,0.5636247,1.1183966,0.9828452,0.41998205,1.4079969,1.2711966,-3.3945796,-0.17284457,2.0865777,1.7763959,1.3170944,1.8968265,1.2703501,0.49196556,0.9590172,1.0764443,0.35016146,1.5203637,1.0864198,0.9843419,2.0369565,2.1175222,1.4153261,0.55706567,1.7110574,2.0663295,1.6892984,1.2694705,1.3792131,0.28762567,1.6163449,1.5757573,0.72697026,1.8024756,1.5310546,0.099805,-0.19938633,-0.8959787
-0.36450928,0.7041072,0.93132806,0.37232548,0.67135113,0.98796505,1.4810944,-1.5293859,-1.230802,-0.6239242,1.0963182,0.6321958,1.1110716,0.82661253,0.7671662,0.5469983,1.1586982,0.9900331,-1.1015639,0.6331175,1.5899007,1.6916846,1.126404,1.4716239,1.1496974,-0.3398704,0.2841275,0.5154469,-0.10785455,0.58571327,0.8214121,0.46256137,0.6735806,1.3786044,1.1047173,1.2681004,-0.8019025,1.6579094,1.5592626,0.8647265,1.4368037,1.2073193,0.42103413,1.1543263,0.9012602,0.32399717,1.3752444,1.0109925,0.8287061,1.873723,1.9893864,1.2563943,1.2446465,1.5850639,1.8106774,1.5589044,0.8131835,1.1705827,1.0964781,1.4343133,1.5584595,0.47099054,1.6199902,1.4018029,-0.3118381,-0.64678043,-0.76491433
-0.75533444,0.5943363,0.8398763,0.17377084,0.5442152,0.3514145,1.3375752,-1.1347407,-1.6644509,-0.98287475,0.5958503,0.400081,0.90689427,0.6729689,0.42767096,0.6670297,1.136256,0.8191166,-1.0650744,0.5394847,1.4595078,1.6256666,0.8184988,1.4284637,0.44492748,-0.7362022,0.2591838,-0.20953801,-0.6933772,0.4835114,0.6393611,0.14304687,0.16154206,0.57102585,0.95520175,-0.40740898,-0.95657337,1.4777585,1.2791377,0.24254473,1.2500683,1.2286791,0.119489536,1.0780281,0.5675858,-0.17955053,0.7531053,0.6400825,0.010205627,1.0530288,1.1758277,1.0097145,0.54695386,0.8090969,1.3696027,1.430481,0.37239194,1.100016,0.7982613,1.3172412,1.5691078,0.21388735,1.0313405,1.173506,0.2406308,-1.0417362,-0.72436315
-0.29684734,0.2579491,0.591306,0.3287064,0.32113642,0.42627838,1.2172244,-1.005226,-1.6683986,-1.4316262,0.42649457,0.119324364,0.8085948,0.55331415,0.11669055,0.53343266,0.7609324,0.6198671,-0.6197399,0.24880977,1.3397188,1.6014651,0.6662781,1.1541113,-0.4630992,-0.9326407,-0.09650317,0.10454865,-0.85634476,0.31326884,0.44958708,1.1013635,-0.39884317,0.10459324,0.7937737,-2.3756397,-1.0274711,1.1178826,1.02771,0.28739482,1.0773462,0.95869106,0.01967642,0.67161906,0.61360115,-0.46045616,0.26721483,0.48474175,0.48576966,0.9035591,1.0123699,0.8825757,0.22738321,0.31771007,1.1184722,1.1697598,0.15517122,0.74959445,1.5439762,1.0797936,1.4813545,0.22153701,0.9492773,0.9031534,0.28318912,-1.265021,-1.199542
0.022183817,0.3590904,0.99285513,0.2517861,0.20448111,0.3341692,1.1172504,-1.6676832,-1.6891158,-1.405004,0.34220484,-0.14261216,0.62820673,0.46689767,-0.47155792,0.41083252,0.48848027,0.3496855,-0.7332895,-0.122727394,1.2258831,1.5037125,0.49431303,1.2485772,-0.29497212,-1.2101035,-0.21706009,-0.17817342,-1.0568316,0.26896492,0.37031308,0.97638184,-0.84262353,0.247974,0.54217285,-0.47232077,-0.6893405,1.0598415,0.9207506,-0.07601664,0.9648796,1.0963448,-0.09291949,0.54894066,0.7234707,-0.66788155,0.20264539,0.25489873,-0.0023387896,0.76176167,1.0542837,0.6108309,-0.07758274,0.25137892,1.0464479,1.1132327,-0.13377343,0.54206026,1.0847155,0.90382373,1.2221464,0.6716824,1.0446202,0.9690206,-0.039083544,-1.2675623,-1.1296909
