ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067,ROI_068,ROI_069,ROI_070,ROI_071,ROI_072,ROI_073,ROI_074,ROI_075,ROI_076,ROI_077,ROI_078,ROI_079,ROI_080,ROI_081,ROI_082,ROI_083,ROI_084,ROI_085,ROI_086,ROI_087,ROI_088,ROI_089,ROI_090,ROI_091,ROI_092,ROI_093,ROI_094,ROI_095,ROI_096,ROI_097,ROI_098,ROI_099,ROI_100
4149.467,3510.21,4128.1914,3340.2317,3439.3733,3968.354,3798.184,3619.2634,3633.8433,4102.7383,4208.8555,3984.564,3755.9985,3654.5493,3697.326,3606.5293,3923.5576,3751.8948,4056.8499,3913.7947,3783.715,3811.0095,3612.513,3916.1963,4541.584,4065.4111,3826.5266,4043.0854,4059.4336,3706.6943,3503.3513,3269.2332,3171.4622,4044.963,3607.4321,3800.0598,3824.6812,3710.2524,3740.25,3889.41,3584.8865,4060.1826,3508.8162,3684.7222,3501.3186,3962.6306,3629.2612,3824.2693,4050.6494,4066.4094,3521.7192,3625.2307,3476.921,3328.7886,3492.6416,3890.5425,3742.876,3515.5845,3736.9229,4006.7788,3599.4497,3239.7388,3747.6982,3522.8916,3931.2634,3624.9976,3627.863,3570.5764,3817.0703,3600.9136,3873.1816,3394.3564,3492.805,3557.319,3596.1138,3933.8958,3805.2432,3618.4263,3133.2356,2865.5073,3614.4148,3766.1963,3396.0657,3292.7405,3948.048,3591.094,3822.6614,3780.5583,3672.2085,3536.8052,3094.835,3683.5535,3630.4006,3301.762,3193.002,3479.174,3800.1526,3577.9775,3908.702,3983.9556
4137.1597,3497.2202,4108.227,3329.8708,3417.7058,3959.0396,3791.6462,3606.429,3620.6343,4079.224,4194.1914,3978.0757,3741.0142,3638.9277,3675.3127,3602.6353,3900.8936,3728.6143,4031.441,3903.6243,3767.729,3804.5105,3607.1062,3900.792,4508.058,4051.273,3806.5676,4016.9292,4021.7747,3687.4482,3468.5352,3264.125,3170.6917,4021.4482,3600.1238,3785.0378,3829.4187,3691.4873,3732.4958,3878.0508,3573.269,4040.4734,3505.569,3658.2126,3481.1372,3940.5134,3621.489,3814.7341,4037.7268,4043.7468,3501.5742,3613.3813,3464.5835,3316.798,3479.063,3879.1492,3718.5176,3498.7847,3720.4097,3985.849,3568.8474,3212.871,3726.005,3510.2236,3906.991,3603.7559,3620.0742,3549.0764,3796.6882,3588.5142,3853.1094,3379.9248,3477.2734,3549.0637,3571.991,3922.2017,3786.759,3597.3237,3111.494,2853.733,3594.38,3745.7383,3371.683,3282.9937,3922.597,3576.5361,3832.517,3771.9893,3651.0835,3527.4866,3073.1528,3658.068,3615.375,3285.2024,3174.901,3465.506,3778.0762,3558.506,3894.3967,3978.3154
4138.282,3486.1643,4101.1665,3327.2568,3418.3354,3960.7932,3792.3594,3604.0688,3614.7031,4075.495,4192.683,3963.012,3737.8618,3634.3696,3672.019,3600.074,3903.0195,3729.107,4012.988,3877.2344,3753.017,3798.8909,3599.6506,3901.6755,4506.0054,4048.939,3809.8105,4015.6545,4025.4329,3681.952,3479.7195,3267.879,3173.071,4016.1309,3601.6323,3776.7502,3833.9717,3690.7146,3741.327,3884.3123,3578.0337,4052.0168,3512.155,3656.0728,3479.5852,3935.5137,3621.7288,3817.0605,4032.9065,4036.374,3497.976,3605.7866,3449.2046,3308.0305,3481.8315,3862.4944,3711.1626,3492.141,3706.0554,3981.6814,3553.708,3206.9592,3709.3433,3502.935,3899.138,3595.52,3614.4194,3541.0513,3782.0762,3575.2566,3837.5867,3377.4402,3467.4465,3542.8733,3559.594,3909.2024,3769.9084,3596.8816,3108.3826,2845.9583,3585.447,3737.251,3365.2153,3282.3877,3917.395,3576.4673,3825.1685,3772.4028,3643.8823,3521.7153,3066.2278,3646.665,3608.3464,3287.3762,3176.6504,3467.578,3780.9807,3555.4685,3880.8987,3969.7812
4131.3564,3486.1248,4084.2483,3326.4688,3412.7756,3967.7168,3797.823,3600.5757,3611.647,4067.998,4177.817,3962.9053,3731.6707,3628.1245,3671.7317,3594.62,3893.3577,3716.7632,4011.7888,3872.8125,3752.6213,3797.2603,3597.6213,3893.8984,4504.691,4047.8245,3804.0977,4020.6726,4028.768,3680.8794,3485.6636,3250.513,3172.8118,4003.0286,3597.3843,3780.207,3822.4197,3689.873,3747.958,3880.969,3574.5527,4052.6365,3507.2656,3658.6292,3473.3794,3936.8677,3623.3394,3810.9968,4054.6672,4040.2402,3485.3472,3608.9968,3448.2283,3305.0862,3477.9287,3874.8367,3710.7815,3493.8254,3699.4875,3979.9126,3550.4897,3207.744,3694.6675,3501.6138,3880.722,3595.186,3611.7732,3535.4927,3776.488,3568.5566,3835.6836,3370.3875,3465.973,3543.7673,3557.9692,3910.1719,3765.4746,3592.1067,3112.9292,2833.8022,3579.7256,3735.3748,3362.4807,3277.4119,3915.6172,3573.73,3814.9507,3773.148,3647.357,3530.705,3070.348,3648.2126,3614.2578,3284.2266,3178.8281,3469.5352,3778.9382,3550.9702,3903.3032,3965.7808
4140.331,3483.1697,4082.7373,3329.4763,3412.6855,3964.7737,3788.3633,3600.555,3612.309,4060.859,4171.0273,3948.7139,3723.626,3623.8472,3668.5137,3591.6555,3882.3584,3713.948,4003.4355,3865.9414,3744.3308,3787.6926,3593.7695,3895.252,4484.4517,4043.1753,3800.113,4016.1274,4015.077,3678.4211,3471.6836,3242.7776,3170.6475,3995.813,3597.425,3771.2722,3816.7659,3691.6746,3751.2244,3881.928,3574.9272,4031.338,3502.799,3652.3105,3475.1428,3934.4504,3618.4749,3804.714,4040.1267,4042.4285,3498.8875,3608.769,3453.8447,3310.3738,3479.2463,3875.0872,3708.6792,3493.879,3705.2576,3972.995,3553.2146,3201.1455,3701.4868,3501.554,3883.435,3594.3567,3611.5222,3539.0984,3774.6711,3568.5732,3831.659,3365.5232,3467.1428,3545.2156,3550.5964,3910.8005,3764.2969,3584.5244,3117.8804,2838.6438,3571.2048,3733.1074,3364.2402,3276.9922,3912.209,3572.899,3829.6606,3767.1887,3644.513,3530.5369,3073.818,3643.0562,3616.7395,3284.4165,3177.3826,3466.5947,3779.7698,3553.5952,3889.3867,3966.4285
4134.4146,3483.3748,4090.001,3323.344,3403.224,3946.603,3786.7832,3593.8093,3610.45,4062.2764,4165.226,3944.8628,3711.0579,3618.0544,3661.0513,3589.939,3874.4905,3706.28,3998.5798,3864.5874,3741.0642,3783.1887,3584.3323,3875.3235,4490.8926,4020.8,3800.108,4005.8303,4008.75,3668.7896,3475.5164,3252.3704,3169.631,3991.779,3591.7114,3768.6018,3816.433,3688.015,3732.9336,3874.9036,3566.9104,4028.861,3495.7136,3649.7437,3473.6938,3925.7942,3613.061,3801.633,4052.9365,4036.2998,3506.2297,3613.3386,3453.429,3307.6191,3471.2495,3858.5996,3708.8806,3488.7092,3710.3418,3987.9673,3556.575,3198.547,3702.1904,3499.8562,3886.9915,3590.994,3616.0273,3536.8992,3775.5994,3568.1128,3831.3462,3368.2278,3461.1118,3542.527,3545.7788,3914.9229,3767.3433,3581.5786,3124.594,2853.1487,3581.4785,3731.9495,3370.2793,3270.607,3920.378,3571.383,3822.843,3763.6646,3639.9077,3527.1423,3074.847,3646.2825,3615.7512,3285.3792,3172.8542,3473.4248,3772.5454,3558.4028,3884.672,3981.2756
4130.1055,3487.34,4073.6797,3320.9922,3398.4104,3943.2625,3786.5376,3595.8157,3609.5942,4057.6875,4174.407,3937.3064,3709.9385,3615.824,3654.8306,3582.9756,3871.2349,3711.5522,4001.0735,3860.4849,3731.7983,3776.753,3584.6255,3876.7234,4475.8945,4022.9924,3796.0342,3992.7048,4014.4475,3660.1284,3463.824,3250.0852,3165.2104,3988.8887,3591.0735,3769.0322,3826.1482,3686.0105,3728.6975,3874.1475,3562.8389,4022.4338,3493.5518,3636.35,3468.1414,3913.0813,3608.8372,3800.932,4048.2834,4044.98,3503.905,3611.9727,3448.0012,3307.749,3471.0447,3862.4116,3706.381,3488.4304,3706.1553,3970.4849,3547.0886,3195.985,3691.2307,3491.243,3872.689,3579.3804,3614.4587,3532.938,3769.7913,3569.2688,3821.656,3366.2554,3463.3196,3542.2092,3548.5312,3912.72,3763.0906,3575.997,3126.0762,2856.7788,3579.9548,3728.1873,3365.5784,3272.3774,3908.745,3560.9954,3828.3743,3752.6123,3640.1707,3522.8337,3071.3613,3642.2888,3608.3215,3287.5544,3167.28,3460.8567,3762.7876,3551.449,3884.2458,3971.4614
4125.3994,3477.9033,4071.456,3314.0396,3390.1934,3952.4277,3784.9697,3593.79,3609.2288,4052.7673,4164.993,3942.6711,3709.4678,3617.0706,3650.4556,3580.0142,3875.3027,3701.195,3999.119,3855.7285,3730.0254,3775.1687,3581.6807,3882.7363,4477.84,4030.65,3792.134,3989.946,4010.1484,3649.5308,3470.386,3246.3232,3164.116,3977.7397,3587.8184,3776.358,3803.52,3689.5745,3733.5718,3878.0486,3565.721,4019.3584,3495.1216,3631.2947,3464.6936,3911.7954,3610.3198,3791.0063,4028.7734,4040.2734,3492.7417,3605.125,3438.6934,3298.385,3466.6294,3861.1519,3697.9324,3479.5906,3690.6604,3959.8076,3524.8809,3185.2334,3668.1716,3480.7034,3863.628,3583.0935,3603.7148,3524.2114,3753.3083,3555.1606,3811.7388,3349.0913,3451.547,3533.2327,3533.8994,3895.3794,3756.3828,3566.9714,3114.367,2833.992,3564.2693,3715.718,3353.0183,3265.8071,3892.376,3546.4158,3824.9492,3753.4421,3638.0603,3518.2607,3062.7288,3634.8289,3597.4316,3271.1807,3148.8613,3459.05,3758.1685,3541.6875,3890.4443,3975.9768
4110.1655,3471.453,4073.1084,3316.9966,3390.6387,3950.9805,3782.4863,3593.6477,3611.6248,4047.3694,4155.104,3933.6597,3711.8923,3613.6858,3653.1746,3580.5781,3875.219,3702.851,3981.6516,3854.5889,3737.666,3777.1238,3578.2092,3869.4443,4481.811,4020.5754,3784.11,3977.8843,3988.5464,3644.257,3480.1292,3246.404,3171.0903,3977.5256,3585.182,3777.5312,3806.447,3691.4673,3736.5056,3874.6868,3567.3477,4011.7925,3487.8325,3622.667,3465.3774,3907.0042,3608.3943,3792.3667,4038.8909,4038.4807,3501.1523,3595.7834,3441.3396,3295.3682,3452.866,3859.6997,3695.0352,3476.878,3685.9666,3960.9126,3522.7048,3180.9583,3669.2722,3472.59,3866.9534,3582.2983,3596.6367,3517.3625,3749.8318,3546.0454,3816.474,3344.863,3445.961,3529.0002,3528.8381,3887.2043,3742.7385,3563.119,3117.4873,2840.3171,3564.7224,3711.0498,3349.0398,3260.8997,3883.6418,3539.7944,3819.8484,3746.2712,3629.3586,3518.658,3063.653,3627.6611,3589.4006,3265.5618,3140.7908,3459.4539,3754.8118,3533.8433,3887.3074,3978.944
4124.481,3471.2097,4074.9858,3313.8792,3384.7512,3951.2104,3781.4502,3590.062,3611.2695,4051.544,4167.734,3931.5444,3715.0776,3610.0464,3651.2017,3580.6196,3867.5447,3702.6555,3981.929,3857.8833,3739.2346,3767.6553,3577.594,3866.554,4474.2207,4019.4163,3787.3267,3979.7432,3997.1394,3649.097,3470.3254,3239.735,3172.2598,3976.1958,3580.0,3774.6228,3808.274,3685.4023,3739.735,3878.4863,3563.882,4005.6606,3480.395,3623.7458,3461.1077,3904.8284,3606.002,3790.7568,4044.9697,4041.5332,3485.1091,3595.7942,3438.3716,3291.8608,3452.103,3862.7876,3689.7075,3480.1836,3688.7832,3963.777,3533.2954,3191.1975,3674.7778,3473.3984,3873.9612,3584.1064,3597.3206,3520.3755,3754.497,3550.6528,3822.7583,3347.063,3442.6658,3522.4167,3534.0837,3889.0269,3744.1338,3569.2334,3115.3767,2835.399,3557.3645,3707.4587,3344.7537,3257.232,3883.325,3540.541,3806.3962,3743.7615,3624.0835,3513.0933,3063.9075,3629.5588,3592.5603,3263.0183,3141.3064,3460.8667,3753.1272,3536.133,3878.8008,3954.3743
