ROI_001,ROI_002,ROI_003,ROI_004,ROI_005,ROI_006,ROI_007,ROI_008,ROI_009,ROI_010,ROI_011,ROI_012,ROI_013,ROI_014,ROI_015,ROI_016,ROI_017,ROI_018,ROI_019,ROI_020,ROI_021,ROI_022,ROI_023,ROI_024,ROI_025,ROI_026,ROI_027,ROI_028,ROI_029,ROI_030,ROI_031,ROI_032,ROI_033,ROI_034,ROI_035,ROI_036,ROI_037,ROI_038,ROI_039,ROI_040,ROI_041,ROI_042,ROI_043,ROI_044,ROI_045,ROI_046,ROI_047,ROI_048,ROI_049,ROI_050,ROI_051,ROI_052,ROI_053,ROI_054,ROI_055,ROI_056,ROI_057,ROI_058,ROI_059,ROI_060,ROI_061,ROI_062,ROI_063,ROI_064,ROI_065,ROI_066,ROI_067,ROI_068,ROI_069,ROI_070,ROI_071,ROI_072,ROI_073,ROI_074,ROI_075,ROI_076,ROI_077,ROI_078,ROI_079,ROI_080,ROI_081,ROI_082,ROI_083,ROI_084,ROI_085,ROI_086,ROI_087,ROI_088,ROI_089,ROI_090,ROI_091,ROI_092,ROI_093,ROI_094,ROI_095,ROI_096,ROI_097,ROI_098,ROI_099,ROI_100
1.0765264,0.72460246,2.3941414,0.034281105,1.0528584,0.59080994,1.5273477,1.9257659,1.2193215,2.176408,1.9881427,1.8169647,2.1840296,2.9329302,2.850782,1.2966223,3.0077984,2.9024658,3.086736,2.5130324,3.7267563,2.2830024,3.057849,3.1385376,3.6501114,2.6586652,3.417551,3.1688786,2.8421528,2.873252,-0.4689232,1.0681397,0.38672408,3.161975,2.4285533,1.508347,-0.43157503,2.1207166,0.8376442,1.8075848,1.9269769,2.051022,1.9182504,1.9361323,1.9048184,3.2057576,2.4806757,2.411948,0.72851413,1.6103425,1.7668022,0.31453922,1.6445719,0.42150176,0.25740722,1.0826501,2.1220844,1.1304102,2.7246614,1.8892343,2.4521754,2.6120782,3.0678837,2.2807715,3.0337462,2.802237,2.5866666,2.8494158,2.976811,2.3267908,3.5899234,3.1057107,3.632402,2.5709083,2.9298751,2.545611,2.5605152,3.1927655,0.38670483,2.1555831,3.5501764,3.0522764,2.9275827,2.2926772,3.3047452,2.8730588,-0.05531398,3.0352345,2.6481986,2.0005503,3.286236,3.463211,2.5804598,1.8781312,2.2791264,2.3883033,3.1375885,3.4178874,1.0026441,0.91567814
0.16949488,0.24186078,1.4427581,-0.46981505,0.30295923,0.22255996,1.1683605,1.1944131,0.5986945,1.1016175,1.344253,1.5721654,1.4913732,2.1446707,1.8768294,1.0779502,1.6434206,1.6960423,1.9922513,2.1185138,2.849148,1.8630463,2.646205,2.2887366,1.6327707,2.035082,2.2374685,2.0693336,1.0629987,2.0723176,-1.5403795,0.80157614,0.32446632,1.8697234,1.9547669,0.90675247,-0.17706315,1.15096,0.4058244,1.2462608,1.2587761,0.95796055,1.7625539,0.68121636,0.7839613,2.3469048,2.0593305,1.927427,0.24675478,0.590679,0.25239506,-0.29058847,1.1062108,-0.080540635,-0.26482502,0.62572503,1.0112523,0.3578521,2.040601,1.1739094,1.5652808,1.4314458,2.4093187,1.8926901,1.9545223,1.8910207,2.0439343,1.9270111,1.8796303,1.6124779,2.5543487,2.2919736,2.6903038,2.138633,2.1403065,2.0444613,1.7212472,2.0241048,-0.8421127,1.6059926,2.5375345,1.7445123,1.7511806,1.8958037,2.4007392,2.3243454,0.5682465,2.3824904,1.2787889,1.3932395,1.7939969,2.075033,1.8421282,0.77451,1.0846839,1.3683261,2.2150054,2.3298023,0.4368202,0.63898534
0.2522271,-0.16901311,1.106294,-0.5969972,0.32475066,0.29189157,1.2075181,1.0599259,0.320018,0.9311713,1.2780244,1.0038193,1.3456554,1.9146703,1.7311027,0.93412024,1.7714045,1.7215734,1.1973972,1.0948278,2.0414894,1.4999152,2.078573,2.3374786,1.5092522,1.9321387,2.4292073,2.0157502,1.2358264,1.8435854,-1.1961855,0.99746966,0.51672363,1.5775057,2.052563,0.5748538,0.067533195,1.1110276,0.8976158,1.5556784,1.5328249,1.5981535,2.0783484,0.57991743,0.69776446,2.1527545,2.0723276,2.045642,0.06705184,0.25895274,-0.01809639,-0.6784387,0.4351292,-0.4476399,-0.15834667,-0.042209785,0.67583823,0.052340668,1.4459748,1.031467,1.126521,1.1716638,1.9035065,1.6694056,1.605354,1.5377234,1.6499037,1.5827119,1.0930538,0.8487281,1.7534964,2.151877,2.0942307,1.8144842,1.7345386,1.4873784,0.9561499,1.9996191,-1.0179616,1.2430973,2.0860329,1.2019674,1.4391257,1.8711301,2.2159715,2.3217504,0.10330631,2.413994,0.8119792,1.017117,1.3173912,1.4539114,1.4967576,0.9193859,1.2001295,1.5229331,2.3363874,2.160058,-0.09707867,0.22031705
-0.2582008,-0.17048295,0.3000719,-0.63534075,0.13232867,0.56561774,1.5075208,0.86087334,0.176424,0.58849347,0.6252584,0.99979395,1.0594674,1.5995439,1.718389,0.627856,1.1897596,1.0819058,1.1457411,0.92329955,2.0197632,1.3945476,1.9240718,1.9084432,1.430158,1.8829821,2.0914304,2.2266974,1.3933945,1.7989523,-1.0132579,0.09124542,0.4957738,0.85746694,1.7771702,0.7132899,-0.5530666,1.0675373,1.2668943,1.3904674,1.3326102,1.6325177,1.8439025,0.7009329,0.3530992,2.205333,2.1596406,1.737519,0.87829995,0.43290606,-0.96747774,-0.51449883,0.3925261,-0.5709195,-0.30844924,0.4527736,0.65845853,0.12979633,1.1739,0.9710138,1.0332516,1.206144,1.4579804,1.6289281,0.7865244,1.5233964,1.4655112,1.3442342,0.7922409,0.4627534,1.6553123,1.754204,2.0048442,1.8612989,1.6813583,1.5289255,0.75483245,1.7351846,-0.7609909,0.6756952,1.7968495,1.0820312,1.3071867,1.6685232,2.1528242,2.2185762,-0.54316133,2.470753,1.0372177,1.6029955,1.6009519,1.538209,1.7872316,0.70947534,1.3438326,1.6689955,2.2510314,1.9086887,0.78910583,0.024061806
0.4032251,-0.2803034,0.2280672,-0.48901057,0.12921079,0.4492607,0.98809606,0.85969085,0.20753334,0.26217508,0.32713342,0.46435982,0.6876004,1.3837106,1.576011,0.46137738,0.527603,0.9360197,0.7859257,0.6567641,1.5646275,0.77630347,1.6308131,1.9831119,0.21230838,1.6779244,1.8558383,2.0356297,0.7465709,1.6966512,-1.4434873,-0.31241557,0.32089576,0.46093377,1.7798133,0.3554717,-0.85680205,1.1606371,1.4487941,1.4378567,1.3541511,0.45131153,1.629732,0.4018209,0.45103842,2.1114671,1.8959277,1.4182682,0.336224,0.5313617,0.050416615,-0.52613133,0.6376085,-0.34952733,-0.25777343,0.46281937,0.5625862,0.13225505,1.4129237,0.7345914,1.1122215,0.9161944,1.6650013,1.6270957,0.90715826,1.4878194,1.448023,1.4989284,0.6944363,0.46370977,1.4476709,1.4799298,2.0758083,1.9371331,1.4400376,1.5558668,0.70135766,1.3152773,-0.48115602,0.90168285,1.3661777,0.9370935,1.3920795,1.6514347,2.0317676,2.1872523,0.38752222,2.0168133,0.8528583,1.5920328,1.839784,1.2573366,1.9091772,0.7221341,1.2484441,1.4495649,2.2857819,2.0553765,0.23865536,0.055836808
-0.03281939,-0.272682,0.57421094,-0.7873726,-0.19824374,-0.2691221,0.90133536,0.47530282,0.12018167,0.32696563,0.072403304,0.31906083,0.10663629,1.0914117,1.2458439,0.36498347,0.05395372,0.53865665,0.57676685,0.60424113,1.3852968,0.48526856,0.9123044,0.8837281,0.59987545,0.6910348,1.8555353,1.602764,0.4476634,1.2958285,-1.3255353,0.18817298,0.23877312,0.23924817,1.40941,0.24852806,-0.87467885,0.97151047,0.4302019,1.0907375,0.8930455,0.31394938,1.289986,0.28030846,0.37056366,1.7753283,1.6024354,1.2617071,0.81377834,0.25561342,0.60237485,-0.29277036,0.6194657,-0.46486428,-0.5653306,-0.1984085,0.5717715,-0.10547846,1.6235384,1.246303,1.2096088,0.80201477,1.6863614,1.5750853,1.0652859,1.3435639,1.7619444,1.4045764,0.7444031,0.43718395,1.4315357,1.6324298,1.7099841,1.7963567,1.2823508,1.7325283,0.83967817,1.1521386,-0.10170923,1.5787227,1.8854493,0.86307174,1.6834501,1.3914384,2.321922,2.1301162,-0.04382177,1.7483623,0.5543286,1.3708049,1.9105902,1.433073,1.8606149,0.78629017,0.949632,1.959262,1.9838725,2.3240314,0.05217508,0.7842065
-0.35039738,-0.12531722,-0.20356537,-0.90179735,-0.36484385,-0.40119284,0.8878494,0.58963144,0.07997582,0.11721662,0.47554198,0.033962045,0.054892465,0.97886306,0.9706148,-0.026048703,-0.14203452,0.8118691,0.68418044,0.44510022,0.8766166,0.06939845,0.93462825,0.9609558,-0.30259672,0.7877327,1.6146743,1.0510005,0.71683586,0.93539184,-1.6853646,0.06892456,-0.118419945,0.080406815,1.3680536,0.26576537,-0.35276225,0.86792606,0.19429919,1.0533738,0.65886277,-0.042501707,1.186325,-0.35371983,0.06218321,1.2816622,1.3734517,1.2260776,0.64031005,0.64616257,0.42761436,-0.36252803,0.38261837,-0.4594261,-0.5732085,-0.045528993,0.4577846,-0.11829979,1.4501113,0.64879715,0.9346826,0.6894336,1.3536474,1.3112185,0.42935574,0.84537244,1.6526426,1.2346317,0.43174908,0.5037798,0.9315965,1.5212141,1.8439009,1.7797121,1.3724415,1.638124,0.6465859,0.84303224,-0.017938137,1.748165,1.8084365,0.6225753,1.4566413,1.4635303,1.9087336,1.7385844,0.30613452,0.9064659,0.5713734,1.0900058,1.6706995,1.2155402,1.495534,0.9312637,0.58180386,1.0213618,1.5760893,1.9354422,0.035314504,0.3027428
-0.6972321,-0.47601855,-0.3095306,-1.2400708,-0.64923096,-0.038840372,0.801759,0.47420377,0.06280373,-0.10767547,0.06217636,0.23637104,0.033134103,1.0417651,0.77704704,-0.19234912,0.10285157,0.2751481,0.59998685,0.2605975,0.7792847,-0.03297176,0.71042305,1.2926686,-0.18554212,1.1254755,1.3840767,0.9350278,0.513731,0.49436596,-1.4834208,-0.12738942,-0.20685516,-0.53228426,1.1570299,0.5591417,-1.5683992,1.052107,0.4657416,1.2461522,0.82463163,-0.21306366,1.2615978,-0.59303486,-0.12930202,1.2317287,1.4538295,0.7217198,-0.08702996,0.4344,-0.41159192,-0.7122266,-0.023544107,-0.8514982,-0.74301994,-0.09605149,0.072491564,-0.5248101,0.8082345,0.28387535,0.29107255,0.21697676,0.6536216,0.98834085,0.026475834,1.0046568,0.90399784,0.8602399,-0.45553654,-0.30897108,0.41994333,0.5534078,1.1298157,1.3096732,0.8935238,0.89499456,0.34202132,0.34319165,-0.6797312,0.6845496,1.0156282,-0.1745121,0.8506478,1.1959988,1.3273144,1.1890521,0.08943534,0.96967787,0.4345717,0.79197496,1.0765762,0.80919874,0.96042496,-0.15997528,-0.63359815,0.8865406,1.3830533,1.3899604,0.28048813,0.52425754
-1.8199648,-0.71573806,-0.23078963,-1.0961995,-0.6338189,-0.096058495,0.66539776,0.4660931,0.17538013,-0.35440618,-0.3720505,-0.10362707,0.14520998,0.870971,0.8973464,-0.16067937,0.0978104,0.36096424,-0.15241285,0.2163896,1.1987418,0.09336214,0.4461241,0.5593959,0.053414978,0.6811281,0.909659,0.4279805,-0.50683355,0.27489948,-1.183578,-0.1231724,0.35668018,-0.54405075,0.9861122,0.6061312,-1.4111539,1.1499254,0.6291237,1.0800242,0.9181952,-0.63266474,0.9120885,-1.001455,-0.091322266,1.0456748,1.3494428,0.7908449,0.29015145,0.3537395,0.2206805,-1.1892844,0.09192855,-0.9778138,-1.2723601,-0.15428944,-0.05963213,-0.6495542,0.6137914,0.32164085,0.22800846,0.02911619,0.6870331,0.7397916,0.17433453,0.97054607,0.4107875,0.5664057,-0.64268214,-0.8340869,0.6642511,0.3149941,0.7909731,1.0880513,0.727862,0.5446533,-0.27749464,0.12983768,-0.5033717,0.9797888,1.038531,-0.47292435,0.65869373,0.9961752,1.0170848,0.9394814,-0.23328875,0.42344022,-0.12950583,0.81786233,1.140191,0.41877532,0.5657963,-0.5344495,-1.1661532,0.916675,1.2427758,0.95161575,0.15640935,0.6698261
-0.76492214,-0.72477484,-0.14132185,-1.247875,-0.83758026,-0.08696614,0.6085046,0.26176783,0.15868983,-0.16359441,0.18251978,-0.18343373,0.29245135,0.687328,0.8100573,-0.1583487,-0.36418393,0.35083026,-0.14046632,0.34418342,1.2848555,-0.51847696,0.39928302,0.39994368,-0.4033154,0.63000095,1.099839,0.50612354,-0.10086613,0.47631162,-1.4852841,-0.47118413,0.45117152,-0.617132,0.65018034,0.48965475,-1.3130085,0.8364975,0.8089704,1.2677838,0.71886533,-0.97273254,0.5554617,-0.95038366,-0.32846186,0.96118504,1.2197504,0.70904106,0.5167734,0.4910809,-0.98537225,-1.1887358,-0.037585344,-1.1246657,-1.3017027,-0.030450575,-0.30259186,-0.49753946,0.73047143,0.41954243,0.53493726,0.47905463,0.8541721,0.7645553,0.48592222,1.0481093,0.45843795,0.69566846,-0.39154693,-0.5686598,0.9884665,0.4390397,0.59109735,0.74332047,0.899557,0.62275684,-0.214143,0.4684594,-0.6226603,0.7502229,0.6666337,-0.7024807,0.45189783,0.8468319,1.005829,0.96762145,-1.0843918,0.23226073,-0.4714626,0.45520064,1.1576992,0.52214265,0.7210565,-0.7039595,-1.1321284,1.0221088,1.1723769,1.079572,-0.18005858,-0.53551596
